# Precios industriales: colorantes y pigmentos (NACE C20.12) (IT)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2011-01-01,59.6
2011-02-01,60.3
2011-03-01,61
2011-04-01,61.5
2011-05-01,61.2
2011-06-01,61.2
2011-07-01,61.6
2011-08-01,61
2011-09-01,62.5
2011-10-01,61.8
2011-11-01,63.3
2011-12-01,63.2
2012-01-01,63
2012-02-01,65
2012-03-01,64
2012-04-01,63.2
2012-05-01,63.8
2012-06-01,65.4
2012-07-01,63.3
2012-08-01,63.2
2012-09-01,64
2012-10-01,64.3
2012-11-01,64.7
2012-12-01,62.8
2013-01-01,63.9
2013-02-01,64.4
2013-03-01,64.6
2013-04-01,63.9
2013-05-01,62.6
2013-06-01,61.7
2013-07-01,62.3
2013-08-01,62.1
2013-09-01,62.6
2013-10-01,63.3
2013-11-01,63.4
2013-12-01,63.4
2014-01-01,62.7
2014-02-01,63.9
2014-03-01,64.4
2014-04-01,64.3
2014-05-01,64.2
2014-06-01,63.9
2014-07-01,65.1
2014-08-01,64.4
2014-09-01,64.2
2014-10-01,64.6
2014-11-01,95.9
2014-12-01,96.3
2015-01-01,95.6
2015-02-01,95.9
2015-03-01,94.7
2015-04-01,94.4
2015-05-01,95.6
2015-06-01,95.8
2015-07-01,95.3
2015-08-01,95.6
2015-09-01,96.2
2015-10-01,95.2
2015-11-01,95.6
2015-12-01,95.5
2016-01-01,96.1
2016-02-01,96
2016-03-01,95.5
2016-04-01,96.3
2016-05-01,96.7
2016-06-01,95.8
2016-07-01,95.1
2016-08-01,94.4
2016-09-01,95.3
2016-10-01,95.4
2016-11-01,95.4
2016-12-01,94.7
2017-01-01,95.2
2017-02-01,94.6
2017-03-01,94.6
2017-04-01,95.3
2017-05-01,96
2017-06-01,96.1
2017-07-01,95.8
2017-08-01,96
2017-09-01,96
2017-10-01,95.7
2017-11-01,96
2017-12-01,95.6
2018-01-01,94.7
2018-02-01,96.6
2018-03-01,96.7
2018-04-01,96.1
2018-05-01,97.1
2018-06-01,96.6
2018-07-01,96.4
2018-08-01,94.7
2018-09-01,95
2018-10-01,96.1
2018-11-01,96.1
2018-12-01,96
2019-01-01,95.5
2019-02-01,96.3
2019-03-01,95.7
2019-04-01,95.4
2019-05-01,96.1
2019-06-01,95.2
2019-07-01,94.6
2019-08-01,94.4
2019-09-01,95.4
2019-10-01,94.9
2019-11-01,95.5
2019-12-01,94.8
2020-01-01,94.7
2020-02-01,95.5
2020-03-01,94.9
2020-04-01,94
2020-05-01,94.7
2020-06-01,93.6
2020-07-01,94.1
2020-08-01,94.4
2020-09-01,95
2020-10-01,94.8
2020-11-01,93.8
2020-12-01,91.8
2021-01-01,91.6
2021-02-01,93.3
2021-03-01,95.6
2021-04-01,94.1
2021-05-01,97.3
2021-06-01,99.8
2021-07-01,101.1
2021-08-01,101.9
2021-09-01,108.4
2021-10-01,107.9
2021-11-01,103.8
2021-12-01,105.1
2022-01-01,107.6
2022-02-01,110.1
2022-03-01,110.7
2022-04-01,112.7
2022-05-01,116.6
2022-06-01,120.5
2022-07-01,118.8
2022-08-01,119.8
2022-09-01,122.2
2022-10-01,120.9
2022-11-01,122.1
2022-12-01,121
2023-01-01,119.1
2023-02-01,122
2023-03-01,119.6
2023-04-01,118.9
2023-05-01,121.5
2023-06-01,119.2
2023-07-01,118.1
2023-08-01,119.2
2023-09-01,117.5
2023-10-01,117.1
2023-11-01,117.2
2023-12-01,116.7
2024-01-01,116.4
2024-02-01,115.5
2024-03-01,115.3
2024-04-01,114.2
2024-05-01,116.5
2024-06-01,116.8
2024-07-01,116
2024-08-01,117.6
2024-09-01,115.6
2024-10-01,115.7
2024-11-01,116.7
2024-12-01,116.2
2025-01-01,116.2
2025-02-01,115.6
2025-03-01,117
2025-04-01,116.5
2025-05-01,117.3
2025-06-01,118.1
2025-07-01,116.7
2025-08-01,115
2025-09-01,117
2025-10-01,116
2025-11-01,116.7
2025-12-01,116.8
2026-01-01,115
2026-02-01,116.6
2026-03-01,117.6
2026-04-01,120
2026-05-01,122
2026-06-01,122.5
2026-07-01,124.2
