# Precios industriales: radiadores y calderas de calefacción (CNAE 25.21) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T10:16:55+00:00
date,value
2002-01-01,65.064
2002-02-01,62.721
2002-03-01,63.41
2002-04-01,63.961
2002-05-01,64.03
2002-06-01,63.272
2002-07-01,62.652
2002-08-01,63.203
2002-09-01,63.686
2002-10-01,64.099
2002-11-01,62.859
2002-12-01,65.616
2003-01-01,62.652
2003-02-01,62.721
2003-03-01,63.41
2003-04-01,63.41
2003-05-01,63.617
2003-06-01,63.203
2003-07-01,63.824
2003-08-01,63.824
2003-09-01,63.824
2003-10-01,63.824
2003-11-01,63.824
2003-12-01,63.824
2004-01-01,63.824
2004-02-01,63.961
2004-03-01,64.237
2004-04-01,64.788
2004-05-01,64.788
2004-06-01,64.788
2004-07-01,64.857
2004-08-01,64.857
2004-09-01,64.857
2004-10-01,65.822
2004-11-01,65.822
2004-12-01,65.822
2005-01-01,66.167
2005-02-01,66.167
2005-03-01,67.959
2005-04-01,67.959
2005-05-01,70.165
2005-06-01,70.233
2005-07-01,70.233
2005-08-01,70.233
2005-09-01,70.233
2005-10-01,69.269
2005-11-01,69.269
2005-12-01,69.269
2006-01-01,70.233
2006-02-01,70.302
2006-03-01,70.165
2006-04-01,70.302
2006-05-01,70.44
2006-06-01,70.923
2006-07-01,72.99
2006-08-01,73.197
2006-09-01,73.197
2006-10-01,73.197
2006-11-01,73.473
2006-12-01,74.645
2007-01-01,75.678
2007-02-01,75.61
2007-03-01,76.092
2007-04-01,76.85
2007-05-01,76.85
2007-06-01,76.85
2007-07-01,73.266
2007-08-01,73.197
2007-09-01,73.266
2007-10-01,72.577
2007-11-01,73.266
2007-12-01,73.266
2008-01-01,73.197
2008-02-01,72.784
2008-03-01,73.059
2008-04-01,73.059
2008-05-01,72.784
2008-06-01,73.404
2008-07-01,73.473
2008-08-01,73.818
2008-09-01,73.611
2008-10-01,74.645
2008-11-01,76.437
2008-12-01,76.23
2009-01-01,75.265
2009-02-01,76.368
2009-03-01,76.299
2009-04-01,76.85
2009-05-01,76.437
2009-06-01,76.437
2009-07-01,76.437
2009-08-01,76.643
