# Precios industriales: siderurgia, hierro y acero (CNAE 24.1) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2000-01-01,40.439
2000-02-01,40.961
2000-03-01,41.541
2000-04-01,41.831
2000-05-01,42.818
2000-06-01,43.456
2000-07-01,43.978
2000-08-01,44.094
2000-09-01,44.384
2000-10-01,44.79
2000-11-01,44.558
2000-12-01,44.674
2001-01-01,44.094
2001-02-01,44.442
2001-03-01,44.326
2001-04-01,43.282
2001-05-01,43.746
2001-06-01,42.818
2001-07-01,43.224
2001-08-01,42.818
2001-09-01,43.862
2001-10-01,42.876
2001-11-01,42.702
2001-12-01,40.497
2002-01-01,41.657
2002-02-01,41.599
2002-03-01,42.528
2002-04-01,42.237
2002-05-01,42.934
2002-06-01,42.934
2002-07-01,42.76
2002-08-01,43.456
2002-09-01,42.644
2002-10-01,42.76
2002-11-01,43.108
2002-12-01,43.34
2003-01-01,43.572
2003-02-01,44.094
2003-03-01,44.268
2003-04-01,44.268
2003-05-01,44.268
2003-06-01,43.804
2003-07-01,43.688
2003-08-01,43.456
2003-09-01,43.688
2003-10-01,43.746
2003-11-01,43.34
2003-12-01,43.108
2004-01-01,43.978
2004-02-01,47.111
2004-03-01,50.012
2004-04-01,54.537
2004-05-01,57.206
2004-06-01,55.002
2004-07-01,55.35
2004-08-01,56.104
2004-09-01,57.38
2004-10-01,59.005
2004-11-01,58.889
2004-12-01,58.831
2005-01-01,59.063
2005-02-01,58.773
2005-03-01,57.902
2005-04-01,57.322
2005-05-01,58.019
2005-06-01,57.844
2005-07-01,56.8
2005-08-01,56.742
2005-09-01,58.889
2005-10-01,58.251
2005-11-01,58.541
2005-12-01,58.193
2006-01-01,58.657
2006-02-01,58.889
2006-03-01,60.629
2006-04-01,61.906
2006-05-01,63.414
2006-06-01,66.547
2006-07-01,67.418
2006-08-01,67.708
2006-09-01,68.694
2006-10-01,69.042
2006-11-01,67.766
2006-12-01,66.953
2007-01-01,66.895
2007-02-01,68.578
2007-03-01,70.202
2007-04-01,72.813
2007-05-01,73.568
2007-06-01,73.451
2007-07-01,71.305
2007-08-01,70.086
2007-09-01,69.912
2007-10-01,68.056
2007-11-01,68.752
2007-12-01,67.708
2008-01-01,68.578
2008-02-01,73.568
2008-03-01,75.076
2008-04-01,79.369
2008-05-01,83.489
2008-06-01,87.724
2008-07-01,92.482
2008-08-01,93.758
2008-09-01,91.553
2008-10-01,84.301
2008-11-01,74.728
2008-12-01,70.609
2009-01-01,67.476
2009-02-01,67.65
2009-03-01,64.343
2009-04-01,62.196
2009-05-01,62.022
2009-06-01,60.803
2009-07-01,60.107
2009-08-01,60.919
2009-09-01,61.21
2009-10-01,62.022
2009-11-01,60.339
2009-12-01,59.411
2010-01-01,60.803
2010-02-01,61.499
2010-03-01,64.541
2010-04-01,69.835
2010-05-01,72.675
2010-06-01,72.442
2010-07-01,70.071
2010-08-01,71.287
2010-09-01,72.642
2010-10-01,70.997
2010-11-01,69.439
2010-12-01,71.181
2011-01-01,75.481
2011-02-01,79.271
2011-03-01,79.088
2011-04-01,81.056
2011-05-01,80.163
2011-06-01,80.696
2011-07-01,82.411
2011-08-01,81.681
2011-09-01,80.477
2011-10-01,80.87
2011-11-01,79.229
2011-12-01,78.069
2012-01-01,78.373
2012-02-01,79.361
2012-03-01,79.718
2012-04-01,79.318
2012-05-01,78.845
2012-06-01,77.261
2012-07-01,76.717
2012-08-01,76.138
2012-09-01,75.681
2012-10-01,74.143
2012-11-01,73.694
2012-12-01,74.056
2013-01-01,73.635
2013-02-01,75.309
2013-03-01,74.105
2013-04-01,72.709
2013-05-01,72.576
2013-06-01,70.851
2013-07-01,70.111
2013-08-01,69.956
2013-09-01,69.665
2013-10-01,70.119
2013-11-01,69.884
2013-12-01,69.269
2014-01-01,69.842
2014-02-01,69.756
2014-03-01,69.991
2014-04-01,69.904
2014-05-01,69.401
2014-06-01,68.727
2014-07-01,68.494
2014-08-01,68.246
2014-09-01,68.792
2014-10-01,69.138
2014-11-01,68.108
2014-12-01,67.444
2015-01-01,66.748
2015-02-01,66.97
2015-03-01,66.936
2015-04-01,67.062
2015-05-01,66.959
2015-06-01,66.703
2015-07-01,66.725
2015-08-01,66.042
2015-09-01,64.919
2015-10-01,62.505
2015-11-01,58.946
2015-12-01,58.787
2016-01-01,57.987
2016-02-01,57.972
2016-03-01,57.024
2016-04-01,61.395
2016-05-01,66.31
2016-06-01,66.907
2016-07-01,68.679
2016-08-01,67.148
2016-09-01,67.695
2016-10-01,66.773
2016-11-01,68.35
2016-12-01,69.677
2017-01-01,74.368
2017-02-01,75.105
2017-03-01,76.051
2017-04-01,76.272
2017-05-01,75.92
2017-06-01,75.692
2017-07-01,75.327
2017-08-01,75.314
2017-09-01,78.032
2017-10-01,79.231
2017-11-01,80.107
2017-12-01,80.584
2018-01-01,82.079
2018-02-01,83.672
2018-03-01,83.62
2018-04-01,83.84
2018-05-01,83.365
2018-06-01,83.137
2018-07-01,82.565
2018-08-01,82.89
2018-09-01,83.248
2018-10-01,84.21
2018-11-01,83.71
2018-12-01,82.379
2019-01-01,82.928
2019-02-01,81.727
2019-03-01,81.109
2019-04-01,81.858
2019-05-01,80.022
2019-06-01,79.905
2019-07-01,79.003
