# Precios industriales: siderurgia, hierro y acero (NACE C24.1) (FR)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
2007-01-01,78
2007-02-01,79.5
2007-03-01,80.9
2007-04-01,82.6
2007-05-01,83.3
2007-06-01,83.7
2007-07-01,83.5
2007-08-01,83.3
2007-09-01,81.9
2007-10-01,80
2007-11-01,78.9
2007-12-01,78.8
2008-01-01,78.6
2008-02-01,80.7
2008-03-01,81.2
2008-04-01,84.7
2008-05-01,87.7
2008-06-01,90.6
2008-07-01,95.6
2008-08-01,96
2008-09-01,95.2
2008-10-01,90.5
2008-11-01,87.8
2008-12-01,83.8
2009-01-01,83.6
2009-02-01,79
2009-03-01,76.4
2009-04-01,74.1
2009-05-01,74.6
2009-06-01,72.7
2009-07-01,69.4
2009-08-01,69.5
2009-09-01,69.7
2009-10-01,70.1
2009-11-01,70.4
2009-12-01,70.6
2010-01-01,70.4
2010-02-01,71.7
2010-03-01,72.3
2010-04-01,76.5
2010-05-01,79.4
2010-06-01,79.7
2010-07-01,80.1
2010-08-01,79.8
2010-09-01,81.8
2010-10-01,82.5
2010-11-01,82.8
2010-12-01,83.6
2011-01-01,85.5
2011-02-01,86.9
2011-03-01,88.7
2011-04-01,88.3
2011-05-01,87.9
2011-06-01,87.5
2011-07-01,87.6
2011-08-01,88.3
2011-09-01,88.1
2011-10-01,87.7
2011-11-01,86.8
2011-12-01,86.6
2012-01-01,84.7
2012-02-01,85.1
2012-03-01,84.7
2012-04-01,85.5
2012-05-01,85.5
2012-06-01,85
2012-07-01,83.4
2012-08-01,83.3
2012-09-01,83.3
2012-10-01,82.9
2012-11-01,82.6
2012-12-01,82.4
2013-01-01,81.5
2013-02-01,80
2013-03-01,80.3
2013-04-01,80.4
2013-05-01,80.6
2013-06-01,79.5
2013-07-01,79.5
2013-08-01,78.7
2013-09-01,78.5
2013-10-01,78.6
2013-11-01,78.9
2013-12-01,79.3
2014-01-01,79.1
2014-02-01,78.6
2014-03-01,78.6
2014-04-01,78.9
2014-05-01,78.6
2014-06-01,78.2
2014-07-01,78.2
2014-08-01,77.6
2014-09-01,77.6
2014-10-01,78
2014-11-01,78.1
2014-12-01,77.1
2015-01-01,76.6
2015-02-01,75.9
2015-03-01,75.8
2015-04-01,75.8
2015-05-01,76
2015-06-01,75.7
2015-07-01,75.5
2015-08-01,75.3
2015-09-01,74.2
2015-10-01,73.2
2015-11-01,72.6
2015-12-01,71.4
2016-01-01,69.1
2016-02-01,69.3
2016-03-01,69.2
2016-04-01,69.5
2016-05-01,70.3
2016-06-01,73.8
2016-07-01,74.1
2016-08-01,74.6
2016-09-01,74.9
2016-10-01,75.1
2016-11-01,74.8
2016-12-01,75.6
2017-01-01,78.4
2017-02-01,79.8
2017-03-01,80.6
2017-04-01,81.7
2017-05-01,81.7
2017-06-01,81
2017-07-01,81.1
2017-08-01,82.1
2017-09-01,81.8
2017-10-01,82.9
2017-11-01,81
2017-12-01,81.8
2018-01-01,84.2
2018-02-01,84.4
2018-03-01,85.3
2018-04-01,84.3
2018-05-01,85.7
2018-06-01,85.3
2018-07-01,85.1
2018-08-01,85.3
2018-09-01,85.5
2018-10-01,85.4
2018-11-01,85.1
2018-12-01,84.8
2019-01-01,84.2
2019-02-01,83.3
2019-03-01,83.7
2019-04-01,83.9
2019-05-01,83.4
2019-06-01,84
2019-07-01,82.7
2019-08-01,82.8
2019-09-01,81.8
2019-10-01,80.7
2019-11-01,79.8
2019-12-01,78.7
2020-01-01,79.2
2020-02-01,77.6
2020-03-01,77.7
2020-04-01,77.8
2020-05-01,79.5
2020-06-01,77.7
2020-07-01,76.7
2020-08-01,76.3
2020-09-01,76.4
2020-10-01,77.1
2020-11-01,77.7
2020-12-01,77.8
2021-01-01,83.5
2021-02-01,89.6
2021-03-01,90.2
2021-04-01,92
2021-05-01,93.2
2021-06-01,99.5
2021-07-01,104.2
2021-08-01,106.9
2021-09-01,109.4
2021-10-01,110.1
2021-11-01,110.5
2021-12-01,110.8
2022-01-01,126.5
2022-02-01,127.9
2022-03-01,131.9
2022-04-01,142.7
2022-05-01,146.2
2022-06-01,145.3
2022-07-01,142.2
2022-08-01,137.4
2022-09-01,135.4
2022-10-01,133.7
2022-11-01,131.1
2022-12-01,126.5
2023-01-01,121.2
2023-02-01,121
2023-03-01,123
2023-04-01,109.9
2023-05-01,108.6
2023-06-01,109.3
2023-07-01,105.2
2023-08-01,104.5
2023-09-01,102.9
2023-10-01,103
2023-11-01,103.2
2023-12-01,102.9
2024-01-01,99.9
2024-02-01,101.1
2024-03-01,100.3
2024-04-01,99.2
2024-05-01,99.5
2024-06-01,99.2
2024-07-01,98.7
2024-08-01,97.7
2024-09-01,98.3
2024-10-01,97.2
2024-11-01,96.9
2024-12-01,96.7
2025-01-01,95.3
2025-02-01,96.5
2025-03-01,96.4
2025-04-01,97.4
2025-05-01,96.9
2025-06-01,96.4
2025-07-01,96.1
2025-08-01,94.4
2025-09-01,94.5
2025-10-01,93.9
2025-11-01,92.9
2025-12-01,93.6
2026-01-01,95
2026-02-01,95.9
2026-03-01,96.9
2026-04-01,101.4
2026-05-01,102.8
2026-06-01,102.7
2026-07-01,104.2
