# Precios industriales: siderurgia, hierro y acero (NACE C24.1) (IT)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2000-01-01,41.6
2000-02-01,42
2000-03-01,42.4
2000-04-01,43.7
2000-05-01,44.2
2000-06-01,44.5
2000-07-01,44.5
2000-08-01,44.3
2000-09-01,44.3
2000-10-01,44.4
2000-11-01,44.2
2000-12-01,44.1
2001-01-01,44
2001-02-01,43
2001-03-01,42.7
2001-04-01,42.3
2001-05-01,41.9
2001-06-01,42.4
2001-07-01,42.5
2001-08-01,42.4
2001-09-01,42.1
2001-10-01,41.7
2001-11-01,41
2001-12-01,40.3
2002-01-01,40.5
2002-02-01,40.5
2002-03-01,41
2002-04-01,41.3
2002-05-01,41.8
2002-06-01,42.6
2002-07-01,43
2002-08-01,43.6
2002-09-01,44.4
2002-10-01,44.5
2002-11-01,44.3
2002-12-01,44.2
2003-01-01,45.2
2003-02-01,45.8
2003-03-01,46.3
2003-04-01,45.8
2003-05-01,45.2
2003-06-01,45.1
2003-07-01,45.1
2003-08-01,44.7
2003-09-01,44.9
2003-10-01,45.3
2003-11-01,45.2
2003-12-01,45.6
2004-01-01,47.6
2004-02-01,50.5
2004-03-01,57.6
2004-04-01,62
2004-05-01,63.2
2004-06-01,62.9
2004-07-01,63.3
2004-08-01,65.2
2004-09-01,67.4
2004-10-01,67.5
2004-11-01,67.3
2004-12-01,66.9
2005-01-01,63.4
2005-02-01,62.8
2005-03-01,62.2
2005-04-01,61.8
2005-05-01,60.4
2005-06-01,60.2
2005-07-01,61.6
2005-08-01,62.3
2005-09-01,62.8
2005-10-01,61.4
2005-11-01,61.5
2005-12-01,60.8
2006-01-01,61.3
2006-02-01,61.8
2006-03-01,62.5
2006-04-01,63.5
2006-05-01,64.5
2006-06-01,65.1
2006-07-01,66.4
2006-08-01,67
2006-09-01,66.3
2006-10-01,65.7
2006-11-01,65.4
2006-12-01,64.7
2007-01-01,66
2007-02-01,68.6
2007-03-01,71.2
2007-04-01,72.3
2007-05-01,72.7
2007-06-01,72
2007-07-01,70.8
2007-08-01,70.7
2007-09-01,71
2007-10-01,70.1
2007-11-01,69.6
2007-12-01,68.4
2008-01-01,70.4
2008-02-01,73.8
2008-03-01,75.7
2008-04-01,79.5
2008-05-01,83.2
2008-06-01,90.6
2008-07-01,100.3
2008-08-01,98
2008-09-01,100.1
2008-10-01,93.2
2008-11-01,80
2008-12-01,74.1
2009-01-01,69.8
2009-02-01,64.1
2009-03-01,60.8
2009-04-01,58.3
2009-05-01,57.9
2009-06-01,56.9
2009-07-01,55.7
2009-08-01,56.4
2009-09-01,59.3
2009-10-01,58.4
2009-11-01,57.8
2009-12-01,57.4
2010-01-01,64.1
2010-02-01,63.6
2010-03-01,65.1
2010-04-01,71.2
2010-05-01,73.4
2010-06-01,73.4
2010-07-01,73
2010-08-01,73.3
2010-09-01,73.7
2010-10-01,72.9
2010-11-01,71.7
2010-12-01,72.6
2011-01-01,76.7
2011-02-01,79.1
2011-03-01,79.9
2011-04-01,80.4
2011-05-01,81.3
2011-06-01,81
2011-07-01,79.9
2011-08-01,80.1
2011-09-01,79.1
2011-10-01,78.5
2011-11-01,77.4
2011-12-01,75.8
2012-01-01,76.7
2012-02-01,76.9
2012-03-01,77.3
2012-04-01,77.2
2012-05-01,76.7
2012-06-01,75.8
2012-07-01,74.9
2012-08-01,74.8
2012-09-01,74.5
2012-10-01,72.9
2012-11-01,72.7
2012-12-01,72.2
2013-01-01,72.4
2013-02-01,71.9
2013-03-01,71.9
2013-04-01,71.2
2013-05-01,71.8
2013-06-01,70.7
2013-07-01,70.2
2013-08-01,69.7
2013-09-01,70.3
2013-10-01,70.1
2013-11-01,68.7
2013-12-01,69.3
2014-01-01,69.4
2014-02-01,68.5
2014-03-01,68.3
2014-04-01,68.5
2014-05-01,67.9
2014-06-01,67.3
2014-07-01,67.4
2014-08-01,67
2014-09-01,67.1
2014-10-01,66.9
2014-11-01,66.1
2014-12-01,65.9
2015-01-01,65.8
2015-02-01,65.3
2015-03-01,64.9
2015-04-01,65
2015-05-01,64.7
2015-06-01,64.3
2015-07-01,62.8
2015-08-01,62.4
2015-09-01,61.8
2015-10-01,60.2
2015-11-01,58.7
2015-12-01,56.9
2016-01-01,55.9
2016-02-01,54.9
2016-03-01,54.5
2016-04-01,55.8
2016-05-01,57.8
2016-06-01,59.1
2016-07-01,59.6
2016-08-01,60.1
2016-09-01,59.6
2016-10-01,59.5
2016-11-01,61.9
2016-12-01,64.3
2017-01-01,66.9
2017-02-01,68.2
2017-03-01,69.6
2017-04-01,69.4
2017-05-01,69.3
2017-06-01,69.1
2017-07-01,68.7
2017-08-01,69.4
2017-09-01,70.6
2017-10-01,72.6
2017-11-01,73.3
2017-12-01,73
2018-01-01,74
2018-02-01,74.5
2018-03-01,74.8
2018-04-01,74.4
2018-05-01,74.8
2018-06-01,74.6
2018-07-01,75.1
2018-08-01,76.4
2018-09-01,76.1
2018-10-01,75.2
2018-11-01,75.5
2018-12-01,75.6
2019-01-01,74.2
2019-02-01,73.2
2019-03-01,72.4
2019-04-01,72.1
2019-05-01,71.8
2019-06-01,70.7
2019-07-01,70
2019-08-01,69.6
2019-09-01,68.8
2019-10-01,67.2
2019-11-01,66
2019-12-01,66.3
2020-01-01,66.1
2020-02-01,66.1
2020-03-01,65.3
2020-04-01,65.5
2020-05-01,65.6
2020-06-01,64.3
