# Precios industriales: vidrio y productos de vidrio (CNAE 23.1) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T08:07:59+00:00
date,value
2000-01-01,69.674
2000-02-01,69.674
2000-03-01,69.898
2000-04-01,69.599
2000-05-01,69.524
2000-06-01,69.749
2000-07-01,69.973
2000-08-01,70.347
2000-09-01,70.496
2000-10-01,70.421
2000-11-01,70.347
2000-12-01,70.87
2001-01-01,72.44
2001-02-01,74.234
2001-03-01,74.608
2001-04-01,73.786
2001-05-01,73.711
2001-06-01,73.038
2001-07-01,73.038
2001-08-01,73.113
2001-09-01,73.711
2001-10-01,73.636
2001-11-01,73.412
2001-12-01,73.187
2002-01-01,73.561
2002-02-01,74.01
2002-03-01,74.757
2002-04-01,75.056
2002-05-01,74.757
2002-06-01,74.683
2002-07-01,74.608
2002-08-01,74.683
2002-09-01,74.683
2002-10-01,74.683
2002-11-01,74.309
2002-12-01,74.384
2003-01-01,74.608
2003-02-01,75.056
2003-03-01,75.056
2003-04-01,74.982
2003-05-01,74.907
2003-06-01,74.907
2003-07-01,75.056
2003-08-01,74.907
2003-09-01,75.056
2003-10-01,74.757
2003-11-01,74.757
2003-12-01,74.683
2004-01-01,74.982
2004-02-01,75.131
2004-03-01,75.056
2004-04-01,74.757
2004-05-01,74.608
2004-06-01,74.832
2004-07-01,74.683
2004-08-01,74.757
2004-09-01,74.608
2004-10-01,74.533
2004-11-01,74.907
2004-12-01,74.533
2005-01-01,74.757
2005-02-01,74.832
2005-03-01,74.907
2005-04-01,74.832
2005-05-01,74.982
2005-06-01,74.907
2005-07-01,74.683
2005-08-01,74.458
2005-09-01,74.458
2005-10-01,74.458
2005-11-01,74.907
2005-12-01,75.131
2006-01-01,75.804
2006-02-01,76.626
2006-03-01,76.776
2006-04-01,76.701
2006-05-01,76.851
2006-06-01,76.925
2006-07-01,76.925
2006-08-01,77.224
2006-09-01,77.523
2006-10-01,78.196
2006-11-01,79.766
2006-12-01,80.514
2007-01-01,83.803
2007-02-01,85.522
2007-03-01,86.793
2007-04-01,87.092
2007-05-01,87.466
2007-06-01,87.69
2007-07-01,87.466
2007-08-01,87.391
2007-09-01,87.69
2007-10-01,87.765
2007-11-01,87.765
2007-12-01,87.915
2008-01-01,89.26
2008-02-01,89.41
2008-03-01,89.485
2008-04-01,89.335
2008-05-01,89.634
2008-06-01,89.335
2008-07-01,89.335
2008-08-01,89.26
2008-09-01,89.41
2008-10-01,89.186
2008-11-01,88.513
2008-12-01,87.84
2009-01-01,87.69
2009-02-01,86.345
2009-03-01,85.747
2009-04-01,84.551
2009-05-01,84.177
2009-06-01,83.504
2009-07-01,84.85
2009-08-01,85.223
2009-09-01,85.373
2009-10-01,86.121
2009-11-01,85.821
2009-12-01,86.046
2010-01-01,86.644
2010-02-01,87.066
2010-03-01,87.339
2010-04-01,86.816
2010-05-01,88.228
2010-06-01,88.447
2010-07-01,88.984
2010-08-01,89.102
2010-09-01,88.611
2010-10-01,88.869
2010-11-01,89.186
2010-12-01,89.098
2011-01-01,90.95
2011-02-01,91.208
2011-03-01,91.63
2011-04-01,91.93
2011-05-01,92.762
2011-06-01,92.961
2011-07-01,92.547
2011-08-01,92.78
2011-09-01,92.337
2011-10-01,92.412
2011-11-01,91.597
2011-12-01,90.97
2012-01-01,91.562
2012-02-01,91.158
2012-03-01,90.753
2012-04-01,90.343
2012-05-01,90.416
2012-06-01,90.171
2012-07-01,90.705
2012-08-01,90.36
2012-09-01,90.252
2012-10-01,90.424
2012-11-01,90.424
2012-12-01,90.973
2013-01-01,90.566
2013-02-01,90.94
2013-03-01,90.45
2013-04-01,90.84
2013-05-01,90.981
2013-06-01,91.497
2013-07-01,90.655
2013-08-01,92.589
2013-09-01,93.103
2013-10-01,93.732
2013-11-01,94.36
2013-12-01,93.11
2014-01-01,92.963
2014-02-01,91.708
2014-03-01,91.393
2014-04-01,91.445
2014-05-01,92.208
2014-06-01,92.524
2014-07-01,92.069
2014-08-01,91.951
2014-09-01,92.321
2014-10-01,92.684
2014-11-01,92.417
2014-12-01,91.877
2015-01-01,92.35
2015-02-01,92.226
