# Precios industriales: fabricación de vidrio plano (CNAE 23.11) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T09:51:42+00:00
date,value
2002-01-01,64.632
2002-02-01,65.546
2002-03-01,67.047
2002-04-01,66.721
2002-05-01,66.655
2002-06-01,66.264
2002-07-01,65.937
2002-08-01,65.937
2002-09-01,66.198
2002-10-01,66.068
2002-11-01,65.937
2002-12-01,65.807
2003-01-01,66.394
2003-02-01,67.047
2003-03-01,67.308
2003-04-01,66.655
2003-05-01,66.394
2003-06-01,66.394
2003-07-01,66.394
2003-08-01,66.198
2003-09-01,66.59
2003-10-01,66.46
2003-11-01,66.198
2003-12-01,66.133
2004-01-01,66.198
2004-02-01,66.329
2004-03-01,66.264
2004-04-01,66.003
2004-05-01,65.611
2004-06-01,65.807
2004-07-01,65.741
2004-08-01,66.003
2004-09-01,65.546
2004-10-01,65.546
2004-11-01,66.264
2004-12-01,66.003
2005-01-01,65.676
2005-02-01,65.284
2005-03-01,65.676
2005-04-01,65.546
2005-05-01,65.546
2005-06-01,65.611
2005-07-01,65.219
2005-08-01,64.632
2005-09-01,64.566
2005-10-01,64.632
2005-11-01,65.546
2005-12-01,65.48
2006-01-01,66.264
2006-02-01,67.047
2006-03-01,66.917
2006-04-01,66.851
2006-05-01,67.374
2006-06-01,68.026
2006-07-01,68.288
2006-08-01,68.81
2006-09-01,69.789
2006-10-01,71.225
2006-11-01,74.685
2006-12-01,75.469
2007-01-01,78.276
2007-02-01,81.606
2007-03-01,84.086
2007-04-01,84.543
2007-05-01,85.784
2007-06-01,86.241
2007-07-01,86.176
2007-08-01,86.633
2007-09-01,86.894
2007-10-01,85.849
2007-11-01,85.849
2007-12-01,85.98
2008-01-01,86.894
2008-02-01,85
2008-03-01,84.152
2008-04-01,83.434
2008-05-01,84.021
