# Precios industriales: vidrio y productos de vidrio (NACE C23.1) (PT)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-23T10:24:06+00:00
date,value
2005-01-01,77.6
2005-02-01,77
2005-03-01,77.8
2005-04-01,77.5
2005-05-01,77
2005-06-01,77.1
2005-07-01,77
2005-08-01,76.9
2005-09-01,76.6
2005-10-01,76.5
2005-11-01,78.2
2005-12-01,78
2006-01-01,77.4
2006-02-01,79.5
2006-03-01,79.5
2006-04-01,79.8
2006-05-01,79.8
2006-06-01,80.4
2006-07-01,79.4
2006-08-01,82.4
2006-09-01,83
2006-10-01,82.8
2006-11-01,83.7
2006-12-01,85.5
2007-01-01,89
2007-02-01,91.4
2007-03-01,93.6
2007-04-01,94.2
2007-05-01,96.4
2007-06-01,98.1
2007-07-01,97.6
2007-08-01,95.6
2007-09-01,96.8
2007-10-01,95.7
2007-11-01,93.4
2007-12-01,93.9
2008-01-01,93.7
2008-02-01,90.9
2008-03-01,88.5
2008-04-01,89.6
2008-05-01,88.8
2008-06-01,89.4
2008-07-01,88.9
2008-08-01,89.1
2008-09-01,90.6
2008-10-01,90
2008-11-01,88
2008-12-01,87.9
2009-01-01,87
2009-02-01,82.4
2009-03-01,83.1
2009-04-01,80
2009-05-01,78.3
2009-06-01,76.5
2009-07-01,81.6
2009-08-01,82.1
2009-09-01,81.3
2009-10-01,83.9
2009-11-01,85.5
2009-12-01,88
2010-01-01,87.1
2010-02-01,87.1
2010-03-01,86.5
2010-04-01,86.4
2010-05-01,87.3
2010-06-01,87.6
2010-07-01,87.7
2010-08-01,87.5
2010-09-01,87.5
2010-10-01,87.3
2010-11-01,87.1
2010-12-01,87.1
2011-01-01,87.3
2011-02-01,87.5
2011-03-01,89.2
2011-04-01,87.7
2011-05-01,90.9
2011-06-01,88.9
2011-07-01,89.8
2011-08-01,87.4
2011-09-01,87.9
2011-10-01,88.4
2011-11-01,89.7
2011-12-01,92.1
2012-01-01,91.7
2012-02-01,89
2012-03-01,88.5
2012-04-01,87.1
2012-05-01,85.7
2012-06-01,86.9
2012-07-01,86.1
2012-08-01,86.4
2012-09-01,87.3
2012-10-01,87.1
2012-11-01,87.5
2012-12-01,89.8
2013-01-01,94.8
2013-02-01,95.6
2013-03-01,95.2
2013-04-01,91.3
2013-05-01,94.5
2013-06-01,93.7
2013-07-01,92.4
2013-08-01,92.7
2013-09-01,96.8
2013-10-01,93.4
2013-11-01,93.5
2013-12-01,93.8
2014-01-01,93.1
2014-02-01,93.6
2014-03-01,91.8
2014-04-01,93.1
2014-05-01,93.4
2014-06-01,93.5
2014-07-01,93.6
2014-08-01,94
2014-09-01,94.4
2014-10-01,94.4
2014-11-01,93.7
2014-12-01,93.3
2015-01-01,94.1
2015-02-01,94.2
2015-03-01,94
2015-04-01,93.9
2015-05-01,94.2
2015-06-01,94.2
2015-07-01,94
2015-08-01,94.9
2015-09-01,94.9
2015-10-01,94.7
2015-11-01,93.8
2015-12-01,94
2016-01-01,94.1
2016-02-01,93.5
2016-03-01,93.6
2016-04-01,93.6
2016-05-01,93.6
2016-06-01,93.6
2016-07-01,93.6
2016-08-01,93.8
2016-09-01,93.8
2016-10-01,94.3
2016-11-01,94.6
2016-12-01,94.6
2017-01-01,94
2017-02-01,93.2
2017-03-01,94.1
2017-04-01,94.1
2017-05-01,94.1
2017-06-01,94.3
2017-07-01,94.1
2017-08-01,94.3
2017-09-01,94.2
2017-10-01,94.3
2017-11-01,94.6
2017-12-01,94.7
2018-01-01,95.1
2018-02-01,95
2018-03-01,95.1
2018-04-01,95.4
2018-05-01,95
2018-06-01,95.1
2018-07-01,95
2018-08-01,94.9
2018-09-01,94.9
2018-10-01,94.5
2018-11-01,94.8
2018-12-01,94.6
2019-01-01,95.3
2019-02-01,95.7
2019-03-01,95.4
2019-04-01,95.7
2019-05-01,95.8
2019-06-01,95.8
2019-07-01,95.9
2019-08-01,95.4
2019-09-01,95.9
2019-10-01,95.9
2019-11-01,95.7
2019-12-01,95.7
2020-01-01,96.2
2020-02-01,96.1
2020-03-01,96.1
2020-04-01,96.3
2020-05-01,96.1
2020-06-01,96.1
2020-07-01,96.1
2020-08-01,96.1
2020-09-01,95.9
2020-10-01,95.8
2020-11-01,96.1
2020-12-01,96
2021-01-01,95.9
2021-02-01,95.3
2021-03-01,96
2021-04-01,96.1
2021-05-01,97.8
2021-06-01,98.5
2021-07-01,99
2021-08-01,99.2
2021-09-01,100.9
2021-10-01,104.5
2021-11-01,108.4
2021-12-01,108.5
2022-01-01,113.4
2022-02-01,114.9
2022-03-01,120.9
2022-04-01,123.5
2022-05-01,122
2022-06-01,123
2022-07-01,123.3
2022-08-01,124.3
2022-09-01,124.5
2022-10-01,127.3
2022-11-01,124.4
2022-12-01,125.9
2023-01-01,136.5
2023-02-01,131.8
2023-03-01,129.6
2023-04-01,131
2023-05-01,131.5
2023-06-01,125.5
2023-07-01,129.6
2023-08-01,127.8
2023-09-01,127.1
2023-10-01,127.7
2023-11-01,122.3
2023-12-01,122
2024-01-01,124.7
2024-02-01,119.9
2024-03-01,119
2024-04-01,118.7
2024-05-01,118.1
2024-06-01,117.6
2024-07-01,118.5
2024-08-01,118.8
2024-09-01,119.8
2024-10-01,119.4
2024-11-01,117.7
2024-12-01,118.1
2025-01-01,118
2025-02-01,117.4
2025-03-01,120.5
2025-04-01,124
2025-05-01,129.6
2025-06-01,130.1
2025-07-01,130.4
2025-08-01,130.4
2025-09-01,130.6
2025-10-01,128.1
2025-11-01,128
2025-12-01,129.1
2026-01-01,128.7
2026-02-01,128.9
2026-03-01,132.3
2026-04-01,132.5
2026-05-01,132
2026-06-01,130.7
2026-07-01,131
2026-08-01,130.3
