# Precios industriales: otro vidrio, incl. vidrio técnico (CNAE 23.19) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T09:08:52+00:00
date,value
2002-01-01,75.581
2002-02-01,76.291
2002-03-01,76.37
2002-04-01,76.764
2002-05-01,78.263
2002-06-01,78.184
2002-07-01,77.632
2002-08-01,77.79
2002-09-01,76.37
2002-10-01,77.869
2002-11-01,78.105
2002-12-01,77.948
2003-01-01,77.159
2003-02-01,77.711
2003-03-01,77.632
2003-04-01,77.001
2003-05-01,76.922
2003-06-01,77.711
2003-07-01,77.317
2003-08-01,76.133
2003-09-01,77.948
2003-10-01,76.843
2003-11-01,76.212
2003-12-01,75.896
2004-01-01,76.685
2004-02-01,77.948
2004-03-01,77.474
2004-04-01,77.474
2004-05-01,77.869
2004-06-01,77.08
2004-07-01,77.79
2004-08-01,75.975
2004-09-01,77.553
2004-10-01,78.894
2004-11-01,77.869
2004-12-01,76.606
2005-01-01,77.553
2005-02-01,79.368
2005-03-01,79.131
2005-04-01,78.973
2005-05-01,79.21
2005-06-01,78.973
2005-07-01,79.289
2005-08-01,78.421
2005-09-01,79.131
2005-10-01,79.368
2005-11-01,78.973
2005-12-01,78.5
2006-01-01,79.683
2006-02-01,80.236
2006-03-01,79.999
2006-04-01,79.289
2006-05-01,79.526
2006-06-01,79.683
2006-07-01,79.92
2006-08-01,80.709
2006-09-01,79.526
2006-10-01,79.289
2006-11-01,79.052
2006-12-01,79.762
2007-01-01,79.447
2007-02-01,80.236
2007-03-01,80.472
2007-04-01,80.393
2007-05-01,80.709
2007-06-01,81.025
2007-07-01,80.393
2007-08-01,79.92
2007-09-01,81.498
2007-10-01,82.05
2007-11-01,81.261
2007-12-01,80.236
2008-01-01,80.709
2008-02-01,82.445
2008-03-01,82.76
2008-04-01,82.05
2008-05-01,82.681
2008-06-01,82.129
2008-07-01,81.971
2008-08-01,80.867
2008-09-01,81.261
2008-10-01,81.261
2008-11-01,81.261
2008-12-01,79.447
2009-01-01,82.524
2009-02-01,82.287
2009-03-01,82.76
2009-04-01,81.103
2009-05-01,81.656
2009-06-01,81.498
2009-07-01,81.182
2009-08-01,80.709
2009-09-01,80.315
2009-10-01,81.577
2009-11-01,79.526
2009-12-01,79.92
2010-01-01,82.05
2010-02-01,78.861
2010-03-01,81.99
2010-04-01,78.879
2010-05-01,79.376
2010-06-01,80.566
2010-07-01,79.076
2010-08-01,78.702
2010-09-01,78.879
2010-10-01,79.152
2010-11-01,82.747
2010-12-01,80.514
2011-01-01,79.079
2011-02-01,79.451
2011-03-01,81.692
2011-04-01,81.051
2011-05-01,81.482
2011-06-01,80.862
2011-07-01,81.114
2011-08-01,82.555
2011-09-01,83.726
2011-10-01,82.255
2011-11-01,81.414
2011-12-01,81.142
2012-01-01,85.921
2012-02-01,83.691
2012-03-01,86.028
2012-04-01,83.788
2012-05-01,85.094
2012-06-01,83.224
2012-07-01,84.884
2012-08-01,86.723
2012-09-01,83.995
2012-10-01,84.763
2012-11-01,84.673
2012-12-01,86.768
2013-01-01,86.845
2013-02-01,87.243
2013-03-01,89.018
2013-04-01,87.007
2013-05-01,86.772
2013-06-01,87.642
2013-07-01,88.998
2013-08-01,89.458
2013-09-01,89.45
2013-10-01,89.262
2013-11-01,87.547
2013-12-01,89.022
2014-01-01,88.937
2014-02-01,89.609
2014-03-01,89.386
2014-04-01,88.866
2014-05-01,88.063
2014-06-01,88.977
2014-07-01,88.695
2014-08-01,87.469
2014-09-01,88.591
2014-10-01,89.715
2014-11-01,89.389
2014-12-01,88.185
2015-01-01,91.287
2015-02-01,90.516
2015-03-01,89.983
2015-04-01,89.903
2015-05-01,89.436
2015-06-01,90.535
2015-07-01,90.401
2015-08-01,90.509
2015-09-01,90.635
2015-10-01,90.45
2015-11-01,90.741
2015-12-01,91.074
2016-01-01,89.785
2016-02-01,91.069
2016-03-01,92.029
2016-04-01,92.122
2016-05-01,92.539
2016-06-01,92.252
2016-07-01,92.503
2016-08-01,91.661
2016-09-01,92.594
2016-10-01,91.729
2016-11-01,91.998
2016-12-01,91.682
2017-01-01,93.215
2017-02-01,94.574
2017-03-01,93.092
2017-04-01,93.633
2017-05-01,91.953
2017-06-01,93.092
2017-07-01,92.998
2017-08-01,93.982
2017-09-01,91.559
2017-10-01,92.305
2017-11-01,94.392
2017-12-01,92.967
2018-01-01,93.488
2018-02-01,93.412
2018-03-01,93.644
2018-04-01,94.04
2018-05-01,94.864
2018-06-01,94.538
2018-07-01,95.658
2018-08-01,95.101
2018-09-01,94.043
2018-10-01,94.496
2018-11-01,94.58
2018-12-01,94.538
2019-01-01,94.168
2019-02-01,94.297
2019-03-01,95.57
