# Carbonato de litio, precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-25T09:09:11+00:00
date,value
2004-01-01,1.3798
2004-02-01,1.5132
2004-03-01,1.4933
2004-04-01,1.6037
2004-05-01,1.5353
2004-06-01,1.5536
2004-07-01,1.6346
2004-08-01,1.4734
2004-09-01,1.5272
2004-10-01,1.7943
2004-11-01,1.5305
2004-12-01,1.552
2005-01-01,1.6486
2005-02-01,1.6955
2005-03-01,1.6791
2005-04-01,1.6853
2005-05-01,1.5499
2005-06-01,1.5104
2005-07-01,1.992
2005-08-01,2.1607
2005-09-01,2.1974
2005-10-01,2.4697
2005-11-01,1.7968
2005-12-01,2.2304
2006-01-01,2.2476
2006-02-01,2.2402
2006-03-01,2.3239
2006-04-01,3.0734
2006-05-01,2.3792
2006-06-01,2.7509
2006-07-01,2.7135
2006-08-01,2.714
2006-09-01,2.6064
2006-10-01,2.6501
2006-11-01,2.8695
2006-12-01,2.8807
2007-01-01,2.5215
2007-02-01,2.9901
2007-03-01,2.8644
2007-04-01,3.096
2007-05-01,3.5422
2007-06-01,3.3018
2007-07-01,3.4489
2007-08-01,3.2378
2007-09-01,3.6288
2007-10-01,3.0056
2007-11-01,3.4687
2007-12-01,3.3268
2008-01-01,3.3728
2008-02-01,2.9269
2008-03-01,2.8972
2008-04-01,2.9508
2008-05-01,2.4601
2008-06-01,3.0795
2008-07-01,3.2681
2008-08-01,3.4851
2008-09-01,3.3348
2008-10-01,3.6336
2008-11-01,3.679
2008-12-01,3.8083
2009-01-01,3.4817
2009-02-01,3.9128
2009-03-01,3.8414
2009-04-01,3.8821
2009-05-01,4.258
2009-06-01,3.9314
2009-07-01,4.0059
2009-08-01,3.8025
2009-09-01,3.8235
2009-10-01,3.8543
2009-11-01,3.6218
2009-12-01,3.1598
2010-01-01,3.56
2010-02-01,3.7187
2010-03-01,3.1712
2010-04-01,3.1856
2010-05-01,3.235
2010-06-01,3.2306
2010-07-01,3.4484
2010-08-01,3.4095
2010-09-01,3.2705
2010-10-01,3.086
2010-11-01,3.3783
2010-12-01,3.2682
2011-01-01,3.2231
2011-02-01,3.1158
2011-03-01,3.1597
2011-04-01,3.4424
2011-05-01,2.908
2011-06-01,2.9738
2011-07-01,3.0481
2011-08-01,3.1478
2011-09-01,3.0523
2011-10-01,3.4062
2011-11-01,3.2702
2011-12-01,3.6924
2012-01-01,3.4591
2012-02-01,3.3587
2012-03-01,3.4755
2012-04-01,3.9285
2012-05-01,4.0487
2012-06-01,4.2343
2012-07-01,3.7982
2012-08-01,3.7855
2012-09-01,4.0172
2012-10-01,3.8777
2012-11-01,3.6157
2012-12-01,3.8498
2013-01-01,3.5776
2013-02-01,4.0508
2013-03-01,3.567
2013-04-01,3.8293
2013-05-01,3.8465
2013-06-01,3.9106
2013-07-01,3.8047
2013-08-01,3.7706
2013-09-01,3.7047
2013-10-01,4.1798
2013-11-01,3.4423
2013-12-01,3.5548
2014-01-01,3.662
2014-02-01,3.657
2014-03-01,3.6252
2014-04-01,3.4311
2014-05-01,3.4133
2014-06-01,3.5083
2014-07-01,3.5903
2014-08-01,3.73
2014-09-01,3.7048
2014-10-01,3.919
2014-11-01,3.7577
2014-12-01,3.6253
2015-01-01,4.05
2015-02-01,4.2843
2015-03-01,4.4727
2015-04-01,4.7427
2015-05-01,5.8776
2015-06-01,4.5393
2015-07-01,4.5582
2015-08-01,4.4308
2015-09-01,4.6589
2015-10-01,4.5503
2015-11-01,4.5814
2015-12-01,4.9233
2016-01-01,4.5417
2016-02-01,4.7652
2016-03-01,4.7088
2016-04-01,5.178
2016-05-01,5.4329
2016-06-01,5.6703
2016-07-01,6.8635
2016-08-01,6.3634
2016-09-01,7.547
2016-10-01,7.9949
2016-11-01,7.9432
2016-12-01,8.6034
2017-01-01,9.0026
2017-02-01,8.1663
2017-03-01,9.0067
2017-04-01,8.9478
2017-05-01,9.519
2017-06-01,9.6212
2017-07-01,9.5112
2017-08-01,9.6217
2017-09-01,7.85
2017-10-01,8.9632
2017-11-01,8.982
2017-12-01,9.9907
2018-01-01,9.5406
2018-02-01,9.9529
2018-03-01,10.1662
2018-04-01,10.6717
2018-05-01,11.5142
2018-06-01,12.1511
2018-07-01,12.2857
2018-08-01,12.6997
2018-09-01,12.5323
2018-10-01,12.6226
2018-11-01,11.5303
2018-12-01,11.3035
2019-01-01,9.4335
2019-02-01,10.7022
2019-03-01,10.4796
2019-04-01,10.5796
2019-05-01,10.7597
2019-06-01,10.4819
2019-07-01,10.3151
2019-08-01,9.523
2019-09-01,9.6712
2019-10-01,9.5559
2019-11-01,9.1214
2019-12-01,10.0263
2020-01-01,8.8083
2020-02-01,9.0108
2020-03-01,7.9716
2020-04-01,7.3548
2020-05-01,6.7634
2020-06-01,6.9304
2020-07-01,8.2352
2020-08-01,7.2036
2020-09-01,8.4468
2020-10-01,7.4125
2020-11-01,6.3667
2020-12-01,7.193
2021-01-01,7.8412
2021-02-01,7.0005
2021-03-01,5.5616
2021-04-01,5.6274
2021-05-01,5.2223
2021-06-01,6.3703
2021-07-01,5.0066
2021-08-01,5.6114
2021-09-01,6.4496
2021-10-01,6.6984
2021-11-01,7.0336
2021-12-01,7.4819
2022-01-01,10.252
2022-02-01,8.5186
2022-03-01,16.0481
2022-04-01,14.5536
2022-05-01,19.4803
2022-06-01,19.5661
2022-07-01,18.0551
2022-08-01,27.7375
2022-09-01,27.8213
2022-10-01,26.9737
2022-11-01,28.3654
2022-12-01,38.0014
2023-01-01,37.9682
2023-02-01,18.0471
2023-03-01,28.8337
2023-04-01,38.0489
2023-05-01,20.1066
2023-06-01,30.1079
2023-07-01,26.2755
2023-08-01,29.0381
2023-09-01,32.6016
2023-10-01,27.4633
2023-11-01,27.6813
2023-12-01,31.2584
2024-01-01,16.3158
2024-02-01,20.6219
2024-03-01,14.6757
2024-04-01,15.6583
2024-05-01,17.9552
2024-06-01,12.7561
2024-07-01,12.5005
2024-08-01,11.2651
2024-09-01,11.1844
2024-10-01,10.9641
2024-11-01,10.0467
2024-12-01,10.2087
2025-01-01,12.5574
2025-02-01,11.0115
2025-03-01,11.071
2025-04-01,21.2297
2025-05-01,9.0205
2025-06-01,9.1173
2025-07-01,9.9013
2025-08-01,10.4064
2025-09-01,10.9631
2025-10-01,8.0391
2025-11-01,11.4722
2025-12-01,9.5381
2026-01-01,9.2788
2026-02-01,8.0262
2026-03-01,15.7767
2026-04-01,13.3059
2026-05-01,11.9496
2026-06-01,10.7581
2026-07-01,14.9047
