# Arena de sílice, precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
2004-01-01,0.0343
2004-02-01,0.0266
2004-03-01,0.0289
2004-04-01,0.0229
2004-05-01,0.0354
2004-06-01,0.0332
2004-07-01,0.0478
2004-08-01,0.0415
2004-09-01,0.0394
2004-10-01,0.0374
2004-11-01,0.038
2004-12-01,0.0258
2005-01-01,0.0724
2005-02-01,0.0624
2005-03-01,0.055
2005-04-01,0.0742
2005-05-01,0.0555
2005-06-01,0.0525
2005-07-01,0.0492
2005-08-01,0.0442
2005-09-01,0.0516
2005-10-01,0.049
2005-11-01,0.0663
2005-12-01,0.0561
2006-01-01,0.0512
2006-02-01,0.0604
2006-03-01,0.0604
2006-04-01,0.077
2006-05-01,0.0782
2006-06-01,0.0824
2006-07-01,0.0671
2006-08-01,0.0601
2006-09-01,0.0562
2006-10-01,0.0693
2006-11-01,0.0658
2006-12-01,0.071
2007-01-01,0.0667
2007-02-01,0.0759
2007-03-01,0.077
2007-04-01,0.071
2007-05-01,0.0646
2007-06-01,0.0584
2007-07-01,0.0722
2007-08-01,0.0612
2007-09-01,0.0667
2007-10-01,0.085
2007-11-01,0.0605
2007-12-01,0.0594
2008-01-01,0.0616
2008-02-01,0.0572
2008-03-01,0.0542
2008-04-01,0.0595
2008-05-01,0.0648
2008-06-01,0.0688
2008-07-01,0.0665
2008-08-01,0.0541
2008-09-01,0.0584
2008-10-01,0.061
2008-11-01,0.0552
2008-12-01,0.0485
2009-01-01,0.0675
2009-02-01,0.0602
2009-03-01,0.0584
2009-04-01,0.0592
2009-05-01,0.0526
2009-06-01,0.0655
2009-07-01,0.0535
2009-08-01,0.058
2009-09-01,0.0512
2009-10-01,0.0604
2009-11-01,0.0533
2009-12-01,0.0568
2010-01-01,0.0606
2010-02-01,0.0736
2010-03-01,0.0655
2010-04-01,0.0609
2010-05-01,0.058
2010-06-01,0.0968
2010-07-01,0.0658
2010-08-01,0.0623
2010-09-01,0.0799
2010-10-01,0.0678
2010-11-01,0.1341
2010-12-01,0.0702
2011-01-01,0.0768
2011-02-01,0.0913
2011-03-01,0.0728
2011-04-01,0.0655
2011-05-01,0.0761
2011-06-01,0.0771
2011-07-01,0.0717
2011-08-01,0.0649
2011-09-01,0.0756
2011-10-01,0.062
2011-11-01,0.062
2011-12-01,0.0506
2012-01-01,0.0863
2012-02-01,0.0676
2012-03-01,0.0678
2012-04-01,0.0802
2012-05-01,0.0678
2012-06-01,0.0577
2012-07-01,0.0469
2012-08-01,0.0816
2012-09-01,0.0654
2012-10-01,0.0744
2012-11-01,0.061
2012-12-01,0.054
2013-01-01,0.0631
2013-02-01,0.0626
2013-03-01,0.0722
2013-04-01,0.0727
2013-05-01,0.0743
2013-06-01,0.0829
2013-07-01,0.0514
2013-08-01,0.0593
2013-09-01,0.0534
2013-10-01,0.0426
2013-11-01,0.0675
2013-12-01,0.0428
2014-01-01,0.0736
2014-02-01,0.0464
2014-03-01,0.0502
2014-04-01,0.0504
2014-05-01,0.067
2014-06-01,0.0487
2014-07-01,0.0565
2014-08-01,0.0437
2014-09-01,0.0516
2014-10-01,0.0622
2014-11-01,0.0386
2014-12-01,0.0659
2015-01-01,0.0656
2015-02-01,0.1043
2015-03-01,0.0564
2015-04-01,0.0688
2015-05-01,0.0794
2015-06-01,0.04
2015-07-01,0.087
2015-08-01,0.0693
2015-09-01,0.0526
2015-10-01,0.0542
2015-11-01,0.0517
2015-12-01,0.0695
2016-01-01,0.0864
2016-02-01,0.0563
2016-03-01,0.112
2016-04-01,0.0685
2016-05-01,0.0549
2016-06-01,0.085
2016-07-01,0.058
2016-08-01,0.0496
2016-09-01,0.0877
2016-10-01,0.05
2016-11-01,0.0592
2016-12-01,0.0711
2017-01-01,0.0669
2017-02-01,0.0824
2017-03-01,0.1099
2017-04-01,0.0739
2017-05-01,0.1039
2017-06-01,0.0807
2017-07-01,0.0889
2017-08-01,0.0619
2017-09-01,0.0755
2017-10-01,0.0706
2017-11-01,0.0997
2017-12-01,0.0554
2018-01-01,0.0876
2018-02-01,0.0759
2018-03-01,0.0939
2018-04-01,0.0721
2018-05-01,0.0918
2018-06-01,0.0824
2018-07-01,0.0782
2018-08-01,0.1116
2018-09-01,0.0764
2018-10-01,0.1276
2018-11-01,0.0754
2018-12-01,0.0598
2019-01-01,0.0809
2019-02-01,0.0804
2019-03-01,0.0928
2019-04-01,0.0972
2019-05-01,0.1055
2019-06-01,0.0778
2019-07-01,0.0757
2019-08-01,0.0723
2019-09-01,0.0707
2019-10-01,0.0611
2019-11-01,0.0618
2019-12-01,0.0698
2020-01-01,0.1181
