# Carbonato de sodio (sosa), precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-23T08:50:18+00:00
date,value
2004-01-01,0.1046
2004-02-01,0.1066
2004-03-01,0.1132
2004-04-01,0.1097
2004-05-01,0.1156
2004-06-01,0.1189
2004-07-01,0.1209
2004-08-01,0.1192
2004-09-01,0.1155
2004-10-01,0.1236
2004-11-01,0.1187
2004-12-01,0.1185
2005-01-01,0.1158
2005-02-01,0.1252
2005-03-01,0.1296
2005-04-01,0.1227
2005-05-01,0.1379
2005-06-01,0.1372
2005-07-01,0.1458
2005-08-01,0.1397
2005-09-01,0.1361
2005-10-01,0.1422
2005-11-01,0.1412
2005-12-01,0.1454
2006-01-01,0.1429
2006-02-01,0.1432
2006-03-01,0.1384
2006-04-01,0.1502
2006-05-01,0.1479
2006-06-01,0.1468
2006-07-01,0.1389
2006-08-01,0.1431
2006-09-01,0.1497
2006-10-01,0.147
2006-11-01,0.1521
2006-12-01,0.1504
2007-01-01,0.1427
2007-02-01,0.1456
2007-03-01,0.1403
2007-04-01,0.1483
2007-05-01,0.1445
2007-06-01,0.147
2007-07-01,0.1589
2007-08-01,0.1476
2007-09-01,0.1488
2007-10-01,0.1381
2007-11-01,0.1547
2007-12-01,0.1442
2008-01-01,0.1585
2008-02-01,0.1988
2008-03-01,0.1502
2008-04-01,0.1565
2008-05-01,0.1631
2008-06-01,0.1883
2008-07-01,0.1539
2008-08-01,0.2008
2008-09-01,0.1652
2008-10-01,0.1855
2008-11-01,0.1875
2008-12-01,0.2012
2009-01-01,0.1864
2009-02-01,0.1892
2009-03-01,0.1934
2009-04-01,0.2062
2009-05-01,0.1784
2009-06-01,0.1823
2009-07-01,0.1723
2009-08-01,0.143
2009-09-01,0.162
2009-10-01,0.1471
2009-11-01,0.1513
2009-12-01,0.1465
2010-01-01,0.1416
2010-02-01,0.1433
2010-03-01,0.138
2010-04-01,0.1413
2010-05-01,0.1397
2010-06-01,0.1429
2010-07-01,0.1413
2010-08-01,0.1398
2010-09-01,0.1394
2010-10-01,0.1388
2010-11-01,0.1375
2010-12-01,0.1377
2011-01-01,0.1422
2011-02-01,0.1478
2011-03-01,0.1456
2011-04-01,0.1513
2011-05-01,0.144
2011-06-01,0.1479
2011-07-01,0.1471
2011-08-01,0.1548
2011-09-01,0.1474
2011-10-01,0.1531
2011-11-01,0.1501
2011-12-01,0.1523
2012-01-01,0.1588
2012-02-01,0.1631
2012-03-01,0.1587
2012-04-01,0.1611
2012-05-01,0.1639
2012-06-01,0.1661
2012-07-01,0.1754
2012-08-01,0.167
2012-09-01,0.1696
2012-10-01,0.1685
2012-11-01,0.1645
2012-12-01,0.1741
2013-01-01,0.1669
2013-02-01,0.1633
2013-03-01,0.1646
2013-04-01,0.1696
2013-05-01,0.1662
2013-06-01,0.1664
2013-07-01,0.1629
2013-08-01,0.1649
2013-09-01,0.1639
2013-10-01,0.1668
2013-11-01,0.1645
2013-12-01,0.1658
2014-01-01,0.1676
2014-02-01,0.1657
2014-03-01,0.1687
2014-04-01,0.1664
2014-05-01,0.1665
2014-06-01,0.1685
2014-07-01,0.1693
2014-08-01,0.1664
2014-09-01,0.1708
2014-10-01,0.1675
2014-11-01,0.1711
2014-12-01,0.1723
2015-01-01,0.1713
2015-02-01,0.1826
2015-03-01,0.1767
2015-04-01,0.1892
2015-05-01,0.1849
2015-06-01,0.18
2015-07-01,0.1875
2015-08-01,0.1793
2015-09-01,0.186
2015-10-01,0.1794
2015-11-01,0.1824
2015-12-01,0.1786
2016-01-01,0.1824
2016-02-01,0.1829
2016-03-01,0.1818
2016-04-01,0.1836
2016-05-01,0.1849
2016-06-01,0.1838
2016-07-01,0.1835
2016-08-01,0.1887
2016-09-01,0.1839
2016-10-01,0.1817
2016-11-01,0.1828
2016-12-01,0.1878
2017-01-01,0.1793
2017-02-01,0.1787
2017-03-01,0.1831
