# Óxido de titanio, precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T09:10:21+00:00
date,value
2004-01-01,1.5638
2004-02-01,1.8419
2004-03-01,1.553
2004-04-01,1.5191
2004-05-01,1.5315
2004-06-01,1.6389
2004-07-01,1.6714
2004-08-01,1.7938
2004-09-01,1.5914
2004-10-01,1.579
2004-11-01,1.5627
2004-12-01,1.5201
2005-01-01,1.4073
2005-02-01,1.5101
2005-03-01,1.6232
2005-04-01,1.4281
2005-05-01,1.4565
2005-06-01,1.4462
2005-07-01,1.4892
2005-08-01,1.3927
2005-09-01,1.6412
2005-10-01,1.5467
2005-11-01,1.5603
2005-12-01,1.4433
2006-01-01,1.7313
2006-02-01,1.4715
2006-03-01,1.5068
2006-04-01,1.471
2006-05-01,1.4555
2006-06-01,1.5552
2006-07-01,1.3607
2006-08-01,1.5637
2006-09-01,1.5077
2006-10-01,1.6533
2006-11-01,1.4662
2006-12-01,1.5546
2007-01-01,1.597
2007-02-01,1.4899
2007-03-01,1.4132
2007-04-01,1.4022
2007-05-01,1.4277
2007-06-01,1.4686
2007-07-01,1.5238
2007-08-01,1.6862
2007-09-01,1.7482
2007-10-01,1.7913
2007-11-01,1.6066
2007-12-01,1.7788
2008-01-01,1.765
2008-02-01,1.5788
2008-03-01,1.6079
2008-04-01,1.4707
2008-05-01,1.5709
2008-06-01,1.655
2008-07-01,1.7119
2008-08-01,1.6648
2008-09-01,1.9445
2008-10-01,2.1498
2008-11-01,1.9187
2008-12-01,1.9416
2009-01-01,2.1098
2009-02-01,1.6182
2009-03-01,1.7326
2009-04-01,1.6308
2009-05-01,1.5312
2009-06-01,1.6145
2009-07-01,1.6226
2009-08-01,1.5557
2009-09-01,1.6727
2009-10-01,1.651
2009-11-01,1.5648
2009-12-01,1.4479
2010-01-01,1.9274
2010-02-01,1.6242
2010-03-01,1.7163
2010-04-01,1.6647
2010-05-01,1.7004
2010-06-01,1.8496
2010-07-01,1.8778
2010-08-01,1.677
2010-09-01,1.8152
2010-10-01,1.9083
2010-11-01,1.7948
2010-12-01,1.8584
2011-01-01,1.8212
2011-02-01,1.8502
2011-03-01,2.0598
2011-04-01,1.8489
2011-05-01,1.9767
2011-06-01,2.1816
2011-07-01,2.2158
2011-08-01,2.4022
2011-09-01,2.4734
2011-10-01,2.4108
2011-11-01,2.2835
2011-12-01,2.3685
2012-01-01,2.4843
2012-02-01,2.543
2012-03-01,2.4842
2012-04-01,2.4958
2012-05-01,2.4245
2012-06-01,3.2324
2012-07-01,2.5437
2012-08-01,3.1147
2012-09-01,2.6958
2012-10-01,2.5546
2012-11-01,2.3953
2012-12-01,2.6885
2013-01-01,2.53
2013-02-01,2.6228
2013-03-01,2.3804
2013-04-01,2.2345
2013-05-01,2.2186
2013-06-01,2.2581
2013-07-01,2.2441
2013-08-01,1.9974
2013-09-01,2.1431
2013-10-01,2.1653
2013-11-01,2.1793
2013-12-01,2.0043
2014-01-01,1.9518
2014-02-01,1.8408
2014-03-01,1.9872
2014-04-01,1.8594
2014-05-01,1.7434
2014-06-01,1.7594
2014-07-01,1.7385
2014-08-01,1.9639
2014-09-01,2.0248
2014-10-01,1.9312
2014-11-01,1.9925
2014-12-01,1.9904
2015-01-01,2.0424
2015-02-01,1.8106
2015-03-01,2.4838
2015-04-01,1.9648
2015-05-01,1.8312
2015-06-01,1.867
2015-07-01,1.9348
2015-08-01,1.9407
2015-09-01,1.8987
2015-10-01,2.0142
2015-11-01,1.6757
2015-12-01,1.9363
2016-01-01,1.7049
2016-02-01,1.789
2016-03-01,1.8803
2016-04-01,1.8597
2016-05-01,1.5911
2016-06-01,1.9505
2016-07-01,1.5616
2016-08-01,1.8181
2016-09-01,1.98
2016-10-01,1.7535
2016-11-01,1.7727
2016-12-01,2.0391
2017-01-01,1.9328
2017-02-01,2.0063
2017-03-01,2.0512
2017-04-01,2.0516
2017-05-01,2.0514
2017-06-01,2.3512
2017-07-01,2.3597
2017-08-01,2.3412
2017-09-01,2.2798
2017-10-01,2.2218
2017-11-01,2.2966
2017-12-01,2.6654
2018-01-01,2.3871
2018-02-01,2.243
2018-03-01,2.2476
2018-04-01,2.4072
2018-05-01,2.2611
2018-06-01,2.4309
2018-07-01,2.5778
2018-08-01,2.4735
2018-09-01,2.3605
2018-10-01,2.548
2018-11-01,2.5054
2018-12-01,2.175
2019-01-01,2.6845
2019-02-01,2.0505
2019-03-01,2.0731
2019-04-01,2.1973
2019-05-01,1.9921
2019-06-01,2.1644
2019-07-01,2.2596
2019-08-01,2.1857
2019-09-01,2.0935
2019-10-01,2.236
2019-11-01,2.1009
2019-12-01,2.1256
2020-01-01,2.0692
2020-02-01,1.9613
2020-03-01,2.0744
2020-04-01,2.105
2020-05-01,2.1426
2020-06-01,2.0387
2020-07-01,2.0143
2020-08-01,2.0481
2020-09-01,1.8069
2020-10-01,1.753
2020-11-01,1.8635
2020-12-01,1.9384
2021-01-01,1.8045
2021-02-01,1.8875
2021-03-01,1.9252
2021-04-01,2.1594
2021-05-01,2.1482
2021-06-01,2.2003
2021-07-01,2.6375
2021-08-01,2.3642
2021-09-01,2.5269
2021-10-01,2.8372
2021-11-01,3.129
2021-12-01,3.2722
2022-01-01,2.9945
2022-02-01,2.9317
2022-03-01,3.0568
2022-04-01,3.092
