date,value
2007-01-01,0.0857
2007-07-01,0.0894
2008-01-01,0.0929
2008-07-01,0.0951
2009-01-01,0.0975
2009-07-01,0.0958
2010-01-01,0.0921
2010-07-01,0.0914
2011-01-01,0.09
2011-07-01,0.0899
2012-01-01,0.0895
2012-07-01,0.0878
2013-01-01,0.086
2013-07-01,0.0905
2014-01-01,0.0844
2014-07-01,0.0808
2015-01-01,0.0809
2015-07-01,0.0813
2016-01-01,0.0788
2016-07-01,0.0793
2017-01-01,0.0761
2017-07-01,0.0786
2018-01-01,0.0771
2018-07-01,0.078
2019-01-01,0.0855
2019-07-01,0.0718
2020-01-01,0.0849
2020-07-01,0.0885
2021-01-01,0.0908
2021-07-01,0.0967
2022-01-01,0.1512
2022-07-01,0.1782
2023-01-01,0.1904
2023-07-01,0.189
2024-01-01,0.1976
2024-07-01,0.201
2025-01-01,0.1828
2025-07-01,0.1828
