date,value
2008-01-01,0.2031
2008-07-01,0.2227
2009-01-01,0.2098
2009-07-01,0.1997
2010-01-01,0.1965
2010-07-01,0.192
2011-01-01,0.1987
2011-07-01,0.2065
2012-01-01,0.2132
2012-07-01,0.2297
2013-01-01,0.2292
2013-07-01,0.2323
2014-01-01,0.2446
2014-07-01,0.2338
2015-01-01,0.245
2015-07-01,0.2428
2016-01-01,0.2342
2016-07-01,0.2261
2017-01-01,0.2132
2017-07-01,0.208
2018-01-01,0.2067
2018-07-01,0.2161
2019-01-01,0.2301
2019-07-01,0.2341
2020-01-01,0.2226
2020-07-01,0.2153
2021-01-01,0.2259
2021-07-01,0.236
2022-01-01,0.3115
2022-07-01,0.3641
2023-01-01,0.3782
2023-07-01,0.3347
2024-01-01,0.3274
2024-07-01,0.3111
2025-01-01,0.3291
2025-07-01,0.2966
