date,value
2020-01-03,0.9776
2020-01-10,0.9737
2020-01-17,0.9574
2020-01-24,0.9328
2020-01-31,0.9053
2020-02-07,0.8861
2020-02-14,0.8851
2020-02-21,0.8924
2020-02-28,0.8618
2020-03-06,0.8495
2020-03-13,0.8
2020-03-20,0.78
2020-03-27,0.7701
2020-04-03,0.7585
2020-04-10,0.7531
2020-04-17,0.7335
2020-04-24,0.712
2020-05-01,0.7063
2020-05-08,0.7215
2020-05-15,0.7296
2020-05-22,0.7557
2020-05-29,0.7573
2020-06-05,0.7461
2020-06-12,0.7505
2020-06-19,0.7493
2020-06-26,0.7413
2020-07-03,0.7354
2020-07-10,0.7409
2020-07-17,0.742
2020-07-24,0.7371
2020-07-31,0.7266
2020-08-07,0.7247
2020-08-14,0.7217
2020-08-21,0.7182
2020-08-28,0.7145
2020-09-04,0.7062
2020-09-11,0.691
2020-09-18,0.6871
2020-09-25,0.6862
2020-10-02,0.6856
2020-10-09,0.6945
2020-10-16,0.6997
2020-10-23,0.6934
2020-10-30,0.6898
2020-11-06,0.6877
2020-11-13,0.7002
2020-11-20,0.7104
2020-11-27,0.7291
2020-12-04,0.736
2020-12-11,0.7444
2020-12-18,0.7539
2020-12-25,0.7557
2021-01-01,0.76
2021-01-08,0.7747
2021-01-15,0.7914
2021-01-22,0.7915
2021-01-29,0.7919
2021-02-05,0.8057
2021-02-12,0.8264
2021-02-19,0.8422
2021-02-26,0.8484
2021-03-05,0.8518
2021-03-12,0.8659
2021-03-19,0.8571
2021-03-26,0.8453
2021-04-02,0.8431
2021-04-09,0.8398
2021-04-16,0.8468
2021-04-23,0.8452
2021-04-30,0.846
2021-05-07,0.8587
2021-05-14,0.8646
2021-05-21,0.8547
2021-05-28,0.8594
2021-06-04,0.8641
2021-06-11,0.8668
2021-06-18,0.8753
2021-06-25,0.8865
2021-07-02,0.8947
2021-07-09,0.9014
2021-07-16,0.9033
2021-07-23,0.8977
2021-07-30,0.9007
2021-08-06,0.8964
2021-08-13,0.8938
2021-08-20,0.8854
2021-08-27,0.8885
2021-09-03,0.8978
2021-09-10,0.9001
2021-09-17,0.9189
2021-09-24,0.9373
2021-10-01,0.9658
2021-10-08,1.0144
2021-10-15,1.0496
2021-10-22,1.0689
2021-10-29,1.0611
2021-11-05,1.0567
2021-11-12,1.0677
2021-11-19,1.0489
2021-11-26,1.0357
2021-12-03,0.9902
2021-12-10,1.0085
2021-12-17,1.0088
2021-12-24,1.0145
2021-12-31,1.037
2022-01-07,1.0609
2022-01-14,1.0848
2022-01-21,1.1153
2022-01-28,1.1403
2022-02-04,1.1602
2022-02-11,1.1634
2022-02-18,1.1802
2022-02-25,1.2342
2022-03-04,1.4864
2022-03-11,1.7547
2022-03-18,1.6325
2022-03-25,1.603
2022-04-01,1.4813
2022-04-08,1.4838
2022-04-15,1.5225
2022-04-22,1.5409
2022-04-29,1.5633
2022-05-06,1.5817
2022-05-13,1.5139
2022-05-20,1.4825
2022-05-27,1.4975
2022-06-03,1.6089
2022-06-10,1.6876
2022-06-17,1.7265
2022-06-24,1.7267
2022-07-01,1.6718
2022-07-08,1.611
2022-07-15,1.6199
2022-07-22,1.5713
2022-07-29,1.5496
2022-08-05,1.4975
2022-08-12,1.4663
2022-08-19,1.497
2022-08-26,1.6145
2022-09-02,1.5737
2022-09-09,1.5304
2022-09-16,1.4874
2022-09-23,1.51
2022-09-30,1.5617
2022-10-07,1.6751
2022-10-14,1.7047
2022-10-21,1.6625
2022-10-28,1.6034
2022-11-04,1.5704
2022-11-11,1.5276
2022-11-18,1.4482
2022-11-25,1.389
2022-12-02,1.3794
2022-12-09,1.2962
2022-12-16,1.3372
2022-12-23,1.318
2022-12-30,1.3628
2023-01-06,1.3321
2023-01-13,1.3552
2023-01-20,1.3775
2023-01-27,1.4006
2023-02-03,1.3441
2023-02-10,1.3075
2023-02-17,1.3051
2023-02-24,1.2815
2023-03-03,1.3055
2023-03-10,1.2938
2023-03-17,1.28
2023-03-24,1.2792
2023-03-31,1.2827
2023-04-07,1.2842
2023-04-14,1.2677
2023-04-21,1.2216
2023-04-28,1.1692
2023-05-05,1.1409
2023-05-12,1.1352
2023-05-19,1.1343
2023-05-26,1.1368
2023-06-02,1.1323
2023-06-09,1.1416
2023-06-16,1.1273
2023-06-23,1.1388
2023-06-30,1.1303
2023-07-07,1.1412
2023-07-14,1.154
2023-07-21,1.1766
2023-07-28,1.2274
2023-08-04,1.2786
2023-08-11,1.3065
2023-08-18,1.3134
2023-08-25,1.3216
2023-09-01,1.3161
2023-09-08,1.349
2023-09-15,1.3935
2023-09-22,1.3918
2023-09-29,1.3925
2023-10-06,1.3385
2023-10-13,1.3334
2023-10-20,1.3534
2023-10-27,1.358
2023-11-03,1.3452
2023-11-10,1.2912
2023-11-17,1.2772
2023-11-24,1.2676
2023-12-01,1.2593
2023-12-08,1.2303
2023-12-15,1.2055
2023-12-22,1.2215
2023-12-29,1.2165
2024-01-05,1.2148
2024-01-12,1.2269
2024-01-19,1.2402
2024-01-26,1.2578
2024-02-02,1.286
2024-02-09,1.2974
2024-02-16,1.2959
2024-02-23,1.2771
2024-03-01,1.2649
2024-03-08,1.2603
2024-03-15,1.2565
2024-03-22,1.2622
2024-03-29,1.2593
2024-04-05,1.2769
2024-04-12,1.268
2024-04-19,1.258
2024-04-26,1.2473
2024-05-03,1.2319
2024-05-10,1.2251
2024-05-17,1.2102
2024-05-24,1.1965
2024-05-31,1.1902
2024-06-07,1.1564
2024-06-14,1.1878
2024-06-21,1.2102
2024-06-28,1.2202
2024-07-05,1.2276
2024-07-12,1.2112
2024-07-19,1.1985
2024-07-26,1.1871
2024-08-02,1.1783
2024-08-09,1.1504
2024-08-16,1.1554
2024-08-23,1.1318
2024-08-30,1.1398
2024-09-06,1.1396
2024-09-13,1.1354
2024-09-20,1.1368
2024-09-27,1.1357
2024-10-04,1.1551
2024-10-11,1.1732
2024-10-18,1.1547
2024-10-25,1.1525
2024-11-01,1.1408
2024-11-08,1.1499
2024-11-15,1.1509
2024-11-22,1.1666
