date,value
2005-01-03,0.3392
2005-01-10,0.3347
2005-01-17,0.3427
2005-01-24,0.3478
2005-01-31,0.3626
2005-02-07,0.3569
2005-02-14,0.3559
2005-02-21,0.3564
2005-02-28,0.3792
2005-03-07,0.4085
2005-03-14,0.4083
2005-03-21,0.4092
2005-04-04,0.4146
2005-04-11,0.4246
2005-04-18,0.4064
2005-04-25,0.3994
2005-05-02,0.3971
2005-05-09,0.3908
2005-05-16,0.3832
2005-05-23,0.3791
2005-05-30,0.3813
2005-06-06,0.4026
2005-06-13,0.4212
2005-06-20,0.4358
2005-06-27,0.4402
2005-07-04,0.4383
2005-07-11,0.4678
2005-07-18,0.456
2005-07-25,0.4402
2005-08-01,0.4414
2005-08-08,0.4438
2005-08-15,0.4438
2005-08-22,0.4769
2005-08-29,0.4886
2005-09-05,0.5249
2005-09-12,0.5074
2005-09-19,0.4941
2005-09-26,0.511
2005-10-03,0.5213
2005-10-10,0.5114
2005-10-17,0.5117
2005-10-24,0.4985
2005-11-07,0.4777
2005-11-14,0.467
2005-11-21,0.4576
2005-11-28,0.457
2005-12-05,0.4569
2005-12-12,0.4606
2005-12-19,0.4619
2006-01-09,0.4709
2006-01-16,0.4722
2006-01-23,0.4789
2006-01-30,0.4877
2006-02-06,0.4889
2006-02-13,0.4836
2006-02-20,0.4772
2006-02-27,0.4799
2006-03-06,0.4949
2006-03-13,0.4898
2006-03-20,0.49
2006-03-27,0.4916
2006-04-03,0.4976
2006-04-10,0.4966
2006-04-24,0.5195
2006-05-01,0.5202
2006-05-08,0.5141
2006-05-15,0.5145
2006-05-22,0.5072
2006-05-29,0.5027
2006-06-05,0.5006
2006-06-12,0.5018
2006-06-19,0.5026
2006-06-26,0.4999
2006-07-03,0.5042
2006-07-10,0.5054
2006-07-17,0.5063
2006-07-24,0.5074
2006-07-31,0.5068
2006-08-07,0.5142
2006-08-14,0.5204
2006-08-21,0.5123
2006-08-28,0.5146
2006-09-04,0.5114
2006-09-11,0.497
2006-09-18,0.4716
2006-09-25,0.4602
2006-10-02,0.4552
2006-10-09,0.4549
2006-10-16,0.4596
2006-10-23,0.4631
2006-10-30,0.4613
2006-11-06,0.4522
2006-11-13,0.4554
2006-11-20,0.4484
2006-11-27,0.4457
2006-12-04,0.4534
2006-12-11,0.4511
2006-12-18,0.4487
2007-01-08,0.4339
