date,value
2005-01-03,0.3773
2005-01-10,0.3773
2005-01-17,0.3568
2005-01-24,0.3657
2005-01-31,0.3702
2005-02-07,0.3764
2005-02-14,0.3764
2005-02-21,0.3764
2005-02-28,0.372
2005-03-07,0.3809
2005-03-14,0.405
2005-03-21,0.4184
2005-04-04,0.4282
2005-04-11,0.4362
2005-04-18,0.4452
2005-04-25,0.4362
2005-05-02,0.4237
2005-05-09,0.4237
2005-05-16,0.4237
2005-05-23,0.4095
2005-05-30,0.405
2005-06-06,0.4095
2005-06-13,0.4541
2005-06-20,0.4541
2005-06-27,0.4702
2005-07-04,0.4702
2005-07-11,0.4791
2005-07-18,0.4907
2005-07-25,0.4907
2005-08-01,0.4791
2005-08-08,0.4755
2005-08-15,0.4791
2005-08-22,0.4943
2005-08-29,0.5103
2005-09-05,0.5202
2005-09-12,0.5353
2005-09-19,0.5353
2005-09-26,0.522
2005-10-03,0.522
2005-10-10,0.538
2005-10-17,0.5496
2005-10-24,0.5479
2005-11-07,0.5273
2005-11-14,0.5139
2005-11-21,0.5005
2005-11-28,0.4916
2005-12-05,0.4918
2005-12-12,0.4791
2005-12-19,0.4791
2006-01-09,0.4836
2006-01-16,0.488
2006-01-23,0.488
2006-01-30,0.4934
2006-02-06,0.4996
2006-02-13,0.4996
2006-02-20,0.4996
2006-02-27,0.4907
2006-03-06,0.4952
2006-03-13,0.5059
2006-03-20,0.5059
2006-03-27,0.5059
2006-04-03,0.5121
2006-04-10,0.5184
2006-04-24,0.5246
2006-05-01,0.5461
2006-05-08,0.5505
2006-05-15,0.5505
2006-05-22,0.5416
2006-05-29,0.5327
2006-06-05,0.5327
2006-06-12,0.5327
2006-06-19,0.5327
2006-06-26,0.5327
2006-07-03,0.5327
2006-07-10,0.5416
2006-07-17,0.5416
2006-07-24,0.5505
2006-07-31,0.5505
2006-08-07,0.5416
2006-08-14,0.5416
2006-08-21,0.555
2006-08-28,0.5505
2006-09-04,0.5505
2006-09-11,0.5461
2006-09-18,0.5282
2006-09-25,0.5014
2006-10-02,0.4791
2006-10-09,0.4791
2006-10-16,0.4791
2006-10-23,0.4746
2006-10-30,0.4791
2006-11-06,0.4791
2006-11-13,0.4675
2006-11-20,0.4675
2006-11-27,0.4675
2006-12-04,0.4675
2006-12-11,0.4675
2006-12-18,0.4675
2007-01-08,0.4764
2007-01-15,0.4639
2007-01-22,0.4545
2007-01-29,0.4532
2007-02-05,0.4434
2007-02-12,0.447
2007-02-19,0.456
2007-02-26,0.4401
2007-03-05,0.4583
2007-03-12,0.4673
2007-03-19,0.4676
2007-03-26,0.4718
2007-04-02,0.4718
2007-04-16,0.4976
2007-04-23,0.4976
2007-04-30,0.4976
2007-05-07,0.5003
2007-05-14,0.4976
2007-05-21,0.4976
2007-05-28,0.4976
2007-06-04,0.5083
2007-06-11,0.5083
2007-06-18,0.5083
2007-06-25,0.5155
2007-07-02,0.5199
2007-07-09,0.5199
2007-07-16,0.5199
2007-07-23,0.528
2007-07-30,0.528
2007-08-06,0.528
2007-08-13,0.528
2007-08-20,0.5217
2007-08-27,0.5173
2007-09-03,0.5173
2007-09-10,0.5173
2007-09-17,0.5173
2007-09-24,0.5449
2007-10-01,0.5539
2007-10-08,0.544
2007-10-15,0.5423
2007-10-22,0.5423
2007-10-29,0.5512
2007-11-05,0.5673
2007-11-12,0.5851
2007-11-19,0.6119
2007-11-26,0.6164
2007-12-03,0.6226
2007-12-10,0.6271
2007-12-17,0.6045
2008-01-07,0.5881
2008-01-14,0.6104
2008-01-21,0.606
2008-01-28,0.5926
2008-02-04,0.5881
2008-02-11,0.5881
2008-02-18,0.6015
2008-02-25,0.6238
2008-03-03,0.6417
2008-03-10,0.6417
2008-03-17,0.6595
2008-03-31,0.6363
2008-04-07,0.6292
2008-04-14,0.6319
2008-04-21,0.6685
2008-04-28,0.6783
2008-05-05,0.6979
2008-05-12,0.7274
2008-05-19,0.756
2008-05-26,0.7872
2008-06-02,0.7909
2008-06-09,0.7801
2008-06-16,0.7801
2008-06-23,0.7935
2008-06-30,0.7935
2008-07-07,0.8024
2008-07-14,0.8104
2008-07-21,0.8104
2008-07-28,0.7979
2008-08-04,0.7667
2008-08-11,0.7488
2008-08-18,0.7131
2008-08-25,0.7042
2008-09-01,0.7149
2008-09-08,0.7247
2008-09-15,0.7069
2008-09-22,0.6961
2008-09-29,0.6613
2008-10-06,0.6826
2008-10-13,0.6761
2008-10-20,0.6309
2008-10-27,0.5795
2008-11-03,0.5631
2008-11-10,0.5512
2008-11-17,0.5533
2008-11-24,0.5259
2008-12-01,0.5001
2008-12-08,0.4845
2008-12-15,0.4506
2009-01-05,0.3874
2009-01-12,0.3814
2009-01-19,0.4199
2009-01-26,0.4304
2009-02-02,0.4101
2009-02-09,0.4143
2009-02-16,0.4094
2009-02-23,0.4094
2009-03-02,0.3926
2009-03-09,0.3763
2009-03-16,0.3725
2009-03-23,0.3741
2009-03-30,0.3816
2009-04-06,0.3889
2009-04-20,0.4113
2009-04-27,0.416
2009-05-04,0.4045
2009-05-11,0.4023
2009-05-18,0.4023
2009-05-25,0.4238
2009-06-01,0.4201
2009-06-08,0.414
2009-06-15,0.431
2009-06-22,0.4452
2009-06-29,0.4551
2009-07-06,0.4533
2009-07-13,0.4506
2009-07-20,0.4301
2009-07-27,0.4292
2009-08-03,0.4435
2009-08-10,0.4533
2009-08-17,0.4694
2009-08-24,0.472
2009-08-31,0.4685
2009-09-07,0.4667
2009-09-14,0.4515
2009-09-21,0.4497
2009-09-28,0.4479
2009-10-05,0.4417
2009-10-12,0.4417
2009-10-19,0.4417
2009-10-26,0.4586
2009-11-02,0.4694
2009-11-09,0.4747
2009-11-16,0.4756
2009-11-23,0.472
2009-11-30,0.4711
2009-12-07,0.4667
2009-12-14,0.4676
2009-12-21,0.4631
2010-01-04,0.4694
2010-01-11,0.4854
2010-01-18,0.5024
2010-01-25,0.4953
2010-02-01,0.4881
2010-02-08,0.4828
2010-02-15,0.4828
2010-02-22,0.489
2010-03-01,0.5024
2010-03-08,0.5104
2010-03-15,0.5185
2010-03-22,0.5256
2010-03-29,0.531
2010-04-12,0.5533
2010-04-19,0.5586
2010-04-26,0.5586
2010-05-03,0.5667
2010-05-10,0.5729
2010-05-17,0.5738
2010-05-24,0.5685
2010-05-31,0.5524
2010-06-07,0.556
2010-06-14,0.5613
2010-06-21,0.5658
2010-06-28,0.5738
2010-07-05,0.5734
2010-07-12,0.561
2010-07-19,0.5557
2010-07-26,0.5548
2010-08-02,0.5539
2010-08-09,0.5575
2010-08-16,0.5636
2010-08-23,0.5592
2010-08-30,0.5575
2010-09-06,0.534
2010-09-13,0.5464
2010-09-20,0.5517
2010-09-27,0.5525
2010-10-04,0.5543
2010-10-11,0.5552
2010-10-18,0.5587
2010-10-25,0.5587
2010-11-08,0.5579
2010-11-15,0.564
2010-11-22,0.572
2010-11-29,0.5702
2010-12-06,0.5809
2010-12-13,0.595
2010-12-20,0.5977
2011-01-03,0.618
2011-01-10,0.6207
2011-01-17,0.6331
2011-01-24,0.6331
2011-01-31,0.6348
2011-02-07,0.6419
2011-02-14,0.649
2011-02-21,0.6561
2011-02-28,0.6658
2011-03-07,0.6826
2011-03-14,0.6662
2011-03-21,0.6875
2011-03-28,0.6963
2011-04-04,0.699
2011-04-11,0.7087
2011-04-18,0.7114
2011-05-02,0.7105
2011-05-09,0.7052
2011-05-16,0.6928
2011-05-23,0.6866
2011-05-30,0.6768
2011-06-06,0.6892
2011-06-13,0.6892
2011-06-20,0.691
2011-06-27,0.6901
2011-07-04,0.6795
2011-07-11,0.6839
2011-07-18,0.6963
2011-07-25,0.7043
2011-08-01,0.7043
2011-08-08,0.7052
2011-08-22,0.6813
2011-08-29,0.6821
2011-09-05,0.6901
2011-09-12,0.6972
2011-09-19,0.699
2011-09-26,0.6998
2011-10-03,0.699
2011-10-10,0.6954
2011-10-17,0.6972
2011-10-24,0.7052
2011-10-31,0.7122
2011-11-07,0.7122
2011-11-14,0.7211
2011-11-21,0.7344
2011-11-28,0.7326
2011-12-05,0.7317
2011-12-12,0.7308
2011-12-19,0.7282
2012-01-09,0.714
2012-01-16,0.7458
2012-01-23,0.7474
2012-01-30,0.7401
2012-02-06,0.7401
2012-02-13,0.7514
2012-02-20,0.7653
2012-02-27,0.7718
2012-03-05,0.775
2012-03-12,0.7807
2012-03-19,0.7888
2012-03-26,0.7937
2012-04-02,0.7913
2012-04-16,0.7848
2012-04-23,0.7807
2012-04-30,0.7783
2012-05-07,0.7783
2012-05-14,0.7701
2012-05-21,0.762
2012-05-28,0.7571
2012-06-04,0.7506
2012-06-11,0.7384
2012-06-18,0.7238
2012-06-25,0.7132
2012-07-02,0.7027
2012-07-09,0.7157
2012-07-16,0.7287
2012-07-23,0.7425
2012-07-30,0.7506
2012-08-06,0.7547
2012-08-13,0.7685
2012-08-20,0.7807
2012-08-27,0.7913
2012-09-03,0.7937
2012-09-10,0.7913
2012-09-17,0.7896
2012-09-24,0.7799
2012-10-01,0.775
2012-10-08,0.7758
2012-10-15,0.7791
2012-10-22,0.7856
2012-10-29,0.7775
2012-11-05,0.7677
2012-11-12,0.7653
2012-11-19,0.7628
2012-11-26,0.7571
2012-12-03,0.7547
2012-12-10,0.7498
2012-12-17,0.7417
2013-01-07,0.7384
2013-01-14,0.7449
2013-01-21,0.7449
2013-01-28,0.7449
2013-02-04,0.7474
2013-02-11,0.7555
2013-02-18,0.7661
2013-02-25,0.771
2013-03-04,0.7799
2013-03-11,0.7775
2013-03-18,0.7742
2013-03-25,0.7693
2013-04-01,0.7685
2013-04-08,0.7677
2013-04-15,0.7571
2013-04-22,0.7368
2013-04-29,0.7295
2013-05-06,0.7246
2013-05-13,0.7287
2013-05-20,0.7368
2013-05-27,0.7401
2013-06-03,0.7417
2013-06-10,0.7417
2013-06-17,0.736
2013-06-24,0.7368
2013-07-01,0.7384
2013-07-08,0.7441
2013-07-15,0.7547
2013-07-22,0.7628
2013-07-29,0.7636
2013-08-05,0.7612
2013-08-12,0.7588
2013-08-19,0.758
2013-08-26,0.7604
2013-09-02,0.771
2013-09-09,0.7783
2013-09-16,0.7415
2013-09-23,0.735
