date,value
1996-01-01,65.8
1996-02-01,65.8
1996-03-01,65.8
1996-04-01,65.8
1996-05-01,65.8
1996-06-01,65.8
1996-07-01,65.7
1996-08-01,65.9
1996-09-01,65.8
1996-10-01,65.8
1996-11-01,67.8
1996-12-01,67.8
1997-01-01,64.1
1997-02-01,64.1
1997-03-01,64
1997-04-01,64
1997-05-01,64.1
1997-06-01,64
1997-07-01,63.7
1997-08-01,63.7
1997-09-01,63.7
1997-10-01,63.7
1997-11-01,64.5
1997-12-01,64.5
1998-01-01,65
1998-02-01,65
1998-03-01,65.1
1998-04-01,65.1
1998-05-01,65.1
1998-06-01,65.1
1998-07-01,65.1
1998-08-01,65.1
1998-09-01,65.1
1998-10-01,65.1
1998-11-01,65.1
1998-12-01,65.1
1999-01-01,61.4
1999-02-01,61.3
1999-03-01,60.9
1999-04-01,60.9
1999-05-01,61
1999-06-01,61
1999-07-01,62.1
1999-08-01,62
1999-09-01,64.1
1999-10-01,64
1999-11-01,65.2
1999-12-01,65.2
2000-01-01,64.9
2000-02-01,64.9
2000-03-01,65.1
2000-04-01,65
2000-05-01,67.1
2000-06-01,67.1
2000-07-01,68.4
2000-08-01,68.3
2000-09-01,69.1
2000-10-01,69.1
2000-11-01,70.8
2000-12-01,70.8
2001-01-01,70.9
2001-02-01,70.9
2001-03-01,71
2001-04-01,71
2001-05-01,68.9
2001-06-01,69
2001-07-01,69
2001-08-01,69.1
2001-09-01,69
2001-10-01,69.1
2001-11-01,69
2001-12-01,69
2002-01-01,67.4
2002-02-01,67.4
2002-03-01,67.3
2002-04-01,67.3
2002-05-01,68
2002-06-01,68
2002-07-01,69.6
2002-08-01,69.6
2002-09-01,69.6
2002-10-01,69.6
2002-11-01,69.6
2002-12-01,69.6
2003-01-01,71
2003-02-01,71
2003-03-01,71
2003-04-01,71.3
2003-05-01,71.2
2003-06-01,71.2
2003-07-01,70.5
2003-08-01,70.5
2003-09-01,70.5
2003-10-01,69.5
2003-11-01,69.5
2003-12-01,69.5
2004-01-01,69.5
2004-02-01,69.5
2004-03-01,69.5
2004-04-01,67.8
2004-05-01,67.1
2004-06-01,67.1
2004-07-01,67.8
2004-08-01,67.8
2004-09-01,67.8
2004-10-01,68.4
2004-11-01,68.4
2004-12-01,68.5
2005-01-01,69.3
2005-02-01,69.4
2005-03-01,69.4
2005-04-01,70.5
2005-05-01,70.5
2005-06-01,70.5
2005-07-01,70.6
2005-08-01,70.6
2005-09-01,70.6
2005-10-01,73.4
2005-11-01,73.4
2005-12-01,73.4
2006-01-01,74.8
2006-02-01,74.8
2006-03-01,74.8
2006-04-01,78.5
2006-05-01,78.5
2006-06-01,78.5
2006-07-01,82.6
2006-08-01,82.6
2006-09-01,82.6
2006-10-01,83.6
2006-11-01,83.6
2006-12-01,83.6
2007-01-01,83.4
2007-02-01,83.4
2007-03-01,83.4
2007-04-01,83.1
2007-05-01,83.1
2007-06-01,83.1
2007-07-01,83.2
2007-08-01,83.2
2007-09-01,83.2
2007-10-01,84.9
2007-11-01,84.9
2007-12-01,84.9
2008-01-01,87.8
2008-02-01,87.8
2008-03-01,87.8
2008-04-01,90.7
2008-05-01,90.7
2008-06-01,90.7
2008-07-01,94
2008-08-01,94
2008-09-01,94
2008-10-01,94.5
2008-11-01,94.5
2008-12-01,94.5
2009-01-01,91.4
2009-02-01,91.4
2009-03-01,91.4
2009-04-01,89.9
2009-05-01,89.9
2009-06-01,89.9
2009-07-01,89.3
2009-08-01,89.3
2009-09-01,89.3
2009-10-01,89.3
2009-11-01,89.3
2009-12-01,89.3
2010-01-01,85.9
2010-02-01,85.9
2010-03-01,85.9
2010-04-01,83.5
2010-05-01,83.5
2010-06-01,83.5
2010-07-01,83.2
2010-08-01,83.2
2010-09-01,83.2
2010-10-01,82.9
2010-11-01,82.9
2010-12-01,82.9
2011-01-01,82.3
2011-02-01,82.3
2011-03-01,82.3
2011-04-01,85.5
2011-05-01,85.5
2011-06-01,85.5
2011-07-01,87.1
2011-08-01,87.1
2011-09-01,87.1
2011-10-01,87.2
2011-11-01,87.2
2011-12-01,87.2
2012-01-01,91.5
2012-02-01,91.5
2012-03-01,91.5
2012-04-01,94.8
2012-05-01,99.4
2012-06-01,99.4
2012-07-01,99.6
2012-08-01,99.6
2012-09-01,99.6
2012-10-01,101
2012-11-01,101
2012-12-01,101
2013-01-01,100.3
2013-02-01,100.3
2013-03-01,100.3
2013-04-01,99.7
2013-05-01,99.7
2013-06-01,99.7
2013-07-01,100.9
2013-08-01,100.9
2013-09-01,100.9
2013-10-01,100.4
2013-11-01,100.4
2013-12-01,100.4
2014-01-01,101.4
2014-02-01,101.4
2014-03-01,101.4
2014-04-01,100.6
2014-05-01,100.6
2014-06-01,100.6
2014-07-01,100.6
2014-08-01,100.6
2014-09-01,100.6
2014-10-01,102.2
2014-11-01,102.2
