date,value
1996-01-01,50.8
1996-02-01,50.79
1996-03-01,50.79
1996-04-01,50.79
1996-05-01,50.79
1996-06-01,57.73
1996-07-01,57.73
1996-08-01,57.74
1996-09-01,57.74
1996-10-01,57.73
1996-11-01,57.76
1996-12-01,57.76
1997-01-01,57.93
1997-02-01,57.91
1997-03-01,57.94
1997-04-01,57.89
1997-05-01,57.91
1997-06-01,57.89
1997-07-01,57.92
1997-08-01,57.88
1997-09-01,57.54
1997-10-01,57.5
1997-11-01,57.55
1997-12-01,57.12
1998-01-01,56.39
1998-02-01,56.14
1998-03-01,56.15
1998-04-01,56.18
1998-05-01,56.16
1998-06-01,56.16
1998-07-01,56.07
1998-08-01,56.1
1998-09-01,56.07
1998-10-01,55.95
1998-11-01,55.91
1998-12-01,55.93
1999-01-01,55.77
1999-02-01,55.74
1999-03-01,55.59
1999-04-01,55.48
1999-05-01,55.5
1999-06-01,55.3
1999-07-01,55.31
1999-08-01,55.33
1999-09-01,55.31
1999-10-01,55.3
1999-11-01,55.39
1999-12-01,56.04
2000-01-01,56.17
2000-02-01,56.17
2000-03-01,56.2
2000-04-01,56.2
2000-05-01,57.19
2000-06-01,57.19
2000-07-01,58.55
2000-08-01,58.55
2000-09-01,59.19
2000-10-01,61.33
2000-11-01,62.39
2000-12-01,63.22
2001-01-01,65.38
2001-02-01,65.54
2001-03-01,65.65
2001-04-01,65.65
2001-05-01,65.65
2001-06-01,65.65
2001-07-01,65.49
2001-08-01,64.73
2001-09-01,64.73
2001-10-01,64.7
2001-11-01,64.7
2001-12-01,64.7
2002-01-01,64.46
2002-02-01,64.13
2002-03-01,64.13
2002-04-01,64.13
2002-05-01,64.13
2002-06-01,64.13
2002-07-01,64.13
2002-08-01,64.84
2002-09-01,64.85
2002-10-01,64.96
2002-11-01,64.96
2002-12-01,64.96
2003-01-01,64.19
2003-02-01,64.19
2003-03-01,64.19
2003-04-01,64.24
2003-05-01,64.34
2003-06-01,66.69
2003-07-01,66.88
2003-08-01,66.25
2003-09-01,66.25
2003-10-01,65.94
2003-11-01,65.94
2003-12-01,65.94
2004-01-01,68.99
2004-02-01,68.99
2004-03-01,68.99
2004-04-01,68.99
2004-05-01,69.15
2004-06-01,68.95
2004-07-01,68.91
2004-08-01,68.91
2004-09-01,68.91
2004-10-01,69.03
2004-11-01,69.3
2004-12-01,69.3
2005-01-01,72.03
2005-02-01,72.15
2005-03-01,72.21
2005-04-01,72.21
2005-05-01,72.21
2005-06-01,72.21
2005-07-01,72.21
2005-08-01,72.21
2005-09-01,73.42
2005-10-01,76.65
2005-11-01,75.94
2005-12-01,75.94
2006-01-01,76.75
2006-02-01,76.72
2006-03-01,77.44
2006-04-01,77.55
2006-05-01,77.55
2006-06-01,77.55
2006-07-01,77.55
2006-08-01,77.6
2006-09-01,78.41
2006-10-01,78.47
2006-11-01,78.47
2006-12-01,80.25
2007-01-01,84.89
2007-02-01,84.97
2007-03-01,84.93
2007-04-01,84.93
2007-05-01,84.93
2007-06-01,84.93
2007-07-01,83.74
2007-08-01,83.74
2007-09-01,83.74
2007-10-01,83.74
2007-11-01,83.74
2007-12-01,83.74
2008-01-01,84.24
2008-02-01,84.38
2008-03-01,84.38
2008-04-01,84.38
2008-05-01,84.38
2008-06-01,84.38
2008-07-01,84.38
2008-08-01,84.38
2008-09-01,84.51
2008-10-01,84.98
2008-11-01,98.46
2008-12-01,98.46
2009-01-01,99.39
2009-02-01,96.92
2009-03-01,95.79
2009-04-01,93.16
2009-05-01,92.19
2009-06-01,92
2009-07-01,92
2009-08-01,92
2009-09-01,92
2009-10-01,89.09
2009-11-01,89.09
2009-12-01,87.7
2010-01-01,88.51
2010-02-01,88.36
2010-03-01,88.36
2010-04-01,88.36
2010-05-01,88.36
2010-06-01,88.36
2010-07-01,88.4
2010-08-01,88.4
2010-09-01,88.4
2010-10-01,88.56
2010-11-01,88.56
2010-12-01,88.73
2011-01-01,90.67
2011-02-01,90.67
2011-03-01,90.67
2011-04-01,94.6
2011-05-01,95.8
2011-06-01,97.17
2011-07-01,97.68
2011-08-01,97.89
2011-09-01,97.89
2011-10-01,100.23
2011-11-01,100.5
2011-12-01,100.5
2012-01-01,100.8
2012-02-01,100.98
2012-03-01,100.98
2012-04-01,100.97
2012-05-01,100.97
2012-06-01,100.97
2012-07-01,100.97
2012-08-01,100.97
2012-09-01,100.97
2012-10-01,100.97
2012-11-01,100.97
2012-12-01,100.97
2013-01-01,100.92
2013-02-01,100.98
2013-03-01,100.98
2013-04-01,100.98
2013-05-01,100.98
2013-06-01,100.98
2013-07-01,100.98
2013-08-01,100.98
2013-09-01,100.98
2013-10-01,99.85
2013-11-01,99.85
2013-12-01,99.85
2014-01-01,100.48
2014-02-01,100.48
2014-03-01,100.48
2014-04-01,100.48
2014-05-01,100.48
2014-06-01,100.48
2014-07-01,100.48
2014-08-01,100.48
2014-09-01,100.48
2014-10-01,100.48
2014-11-01,100.48
2014-12-01,100.48
2015-01-01,100.85
2015-02-01,100.85
2015-03-01,100.85
2015-04-01,100.25
2015-05-01,100.25
2015-06-01,100.25
2015-07-01,100.25
2015-08-01,100.25
2015-09-01,100.25
2015-10-01,98.65
2015-11-01,98.65
2015-12-01,98.65
2016-01-01,100.17
2016-02-01,100.17
2016-03-01,100.05
2016-04-01,99.96
2016-05-01,97.89
2016-06-01,97.89
2016-07-01,97.89
2016-08-01,97.89
2016-09-01,97.89
2016-10-01,95.95
2016-11-01,95.95
