date,value
2005-01-01,0.1788
2005-02-01,0.1738
2005-03-01,0.1795
2005-04-01,0.176
2005-05-01,0.1752
2005-06-01,0.1727
2005-07-01,0.1766
2005-08-01,0.1732
2005-09-01,0.1764
2005-10-01,0.1782
2005-11-01,0.183
2005-12-01,0.1848
2006-01-01,0.1875
2006-02-01,0.1896
2006-03-01,0.1909
2006-04-01,0.1962
2006-05-01,0.1969
2006-06-01,0.2027
2006-07-01,0.2064
2006-08-01,0.2156
2006-09-01,0.2361
2006-10-01,0.2535
2006-11-01,0.2577
2006-12-01,0.2601
2007-01-01,0.255
2007-02-01,0.2296
2007-03-01,0.2174
2007-04-01,0.2033
2007-05-01,0.1992
2007-06-01,0.1955
2007-07-01,0.1918
2007-08-01,0.1897
2007-09-01,0.1914
2007-10-01,0.1936
2007-11-01,0.1929
2007-12-01,0.1941
2008-01-01,0.1933
2008-02-01,0.1947
2008-03-01,0.1925
2008-04-01,0.1889
2008-05-01,0.188
2008-06-01,0.1844
2008-07-01,0.1855
2008-08-01,0.1856
2008-09-01,0.1896
2008-10-01,0.1988
2008-11-01,0.2059
2008-12-01,0.2112
2009-01-01,0.2207
2009-02-01,0.2286
2009-03-01,0.2314
2009-04-01,0.2267
2009-05-01,0.2186
2009-06-01,0.213
2009-07-01,0.2174
2009-08-01,0.2216
2009-09-01,0.2263
2009-10-01,0.2284
2009-11-01,0.2285
2009-12-01,0.2276
2010-01-01,0.2283
2010-02-01,0.2291
2010-03-01,0.2316
2010-04-01,0.2285
2010-05-01,0.2239
2010-06-01,0.2213
2010-07-01,0.224
2010-08-01,0.2262
2010-09-01,0.2283
2010-10-01,0.2304
2010-11-01,0.2338
2010-12-01,0.236
2011-01-01,0.2433
2011-02-01,0.2477
2011-03-01,0.2502
2011-04-01,0.2464
2011-05-01,0.2407
2011-06-01,0.2361
2011-07-01,0.2334
2011-08-01,0.2353
2011-09-01,0.2381
2011-10-01,0.2395
2011-11-01,0.2422
2011-12-01,0.2442
2012-01-01,0.245
2012-02-01,0.2448
2012-03-01,0.2458
2012-04-01,0.2406
2012-05-01,0.2368
2012-06-01,0.2347
2012-07-01,0.2342
2012-08-01,0.2356
2012-09-01,0.2405
2012-10-01,0.2436
2012-11-01,0.2498
2012-12-01,0.2595
2013-01-01,0.2664
2013-02-01,0.2734
2013-03-01,0.2787
2013-04-01,0.2749
2013-05-01,0.2708
2013-06-01,0.2693
2013-07-01,0.2736
2013-08-01,0.276
2013-09-01,0.2808
2013-10-01,0.2832
2013-11-01,0.2881
2013-12-01,0.289
2014-01-01,0.2903
2014-02-01,0.2875
2014-03-01,0.281
2014-04-01,0.2687
2014-05-01,0.259
2014-06-01,0.2535
2014-07-01,0.2521
2014-08-01,0.2524
2014-09-01,0.2547
2014-10-01,0.2556
2014-11-01,0.259
2014-12-01,0.2597
2015-01-01,0.261
2015-02-01,0.261
2015-03-01,0.2596
2015-04-01,0.2512
2015-05-01,0.2445
2015-06-01,0.2427
2015-07-01,0.2407
2015-08-01,0.2401
2015-09-01,0.2398
2015-10-01,0.2409
2015-11-01,0.2427
2015-12-01,0.2427
2016-01-01,0.2436
2016-02-01,0.2457
2016-03-01,0.2437
2016-04-01,0.2405
2016-05-01,0.2335
2016-06-01,0.231
2016-07-01,0.2289
2016-08-01,0.2295
2016-09-01,0.2279
2016-10-01,0.2309
2016-11-01,0.234
2016-12-01,0.2372
2017-01-01,0.2443
2017-02-01,0.2555
2017-03-01,0.2583
2017-04-01,0.2501
2017-05-01,0.2419
2017-06-01,0.2379
2017-07-01,0.2338
2017-08-01,0.236
2017-09-01,0.2373
2017-10-01,0.2413
2017-11-01,0.2431
2017-12-01,0.2467
2018-01-01,0.2532
2018-02-01,0.2562
2018-03-01,0.2584
2018-04-01,0.2596
2018-05-01,0.2476
2018-06-01,0.2436
2018-07-01,0.2435
2018-08-01,0.2418
2018-09-01,0.2451
2018-10-01,0.252
2018-11-01,0.2593
2018-12-01,0.2637
2019-01-01,0.2697
2019-02-01,0.2735
2019-03-01,0.2733
2019-04-01,0.2617
2019-05-01,0.2538
2019-06-01,0.2478
2019-07-01,0.2437
2019-08-01,0.2459
2019-09-01,0.2489
2019-10-01,0.2535
2019-11-01,0.2534
2019-12-01,0.2615
2020-01-01,0.2636
2020-02-01,0.2657
2020-03-01,0.2581
2020-04-01,0.2543
2020-05-01,0.2393
2020-06-01,0.239
2020-07-01,0.2336
2020-08-01,0.2323
2020-09-01,0.2331
2020-10-01,0.2346
2020-11-01,0.2363
2020-12-01,0.2398
2021-01-01,0.2401
2021-02-01,0.2407
2021-03-01,0.2417
2021-04-01,0.2316
2021-05-01,0.225
2021-06-01,0.22
2021-07-01,0.225
2021-08-01,0.2322
2021-09-01,0.2386
2021-10-01,0.246
2021-11-01,0.2646
2021-12-01,0.3017
2022-01-01,0.3818
2022-02-01,0.3817
2022-03-01,0.375
2022-04-01,0.3734
2022-05-01,0.3972
2022-06-01,0.4323
2022-07-01,0.5211
2022-08-01,0.7154
2022-09-01,0.7918
2022-10-01,0.7597
2022-11-01,0.6824
2022-12-01,0.5294
2023-01-01,0.4976
2023-02-01,0.432
2023-03-01,0.3796
2023-04-01,0.3521
2023-05-01,0.3633
2023-06-01,0.406
2023-07-01,0.4284
2023-08-01,0.4056
2023-09-01,0.3835
2023-10-01,0.3742
2023-11-01,0.354
2023-12-01,0.333
2024-01-01,0.3285
2024-02-01,0.3224
2024-03-01,0.3001
2024-04-01,0.2868
2024-05-01,0.2872
2024-06-01,0.2866
2024-07-01,0.2846
2024-08-01,0.2844
2024-09-01,0.274
2024-10-01,0.2756
2024-11-01,0.2782
2024-12-01,0.2836
2025-01-01,0.3083
2025-02-01,0.361
2025-03-01,0.3929
2025-04-01,0.3643
2025-05-01,0.3336
2025-06-01,0.3165
2025-07-01,0.3137
2025-08-01,0.3184
2025-09-01,0.3417
2025-10-01,0.3772
2025-11-01,0.4005
2025-12-01,0.4056
2026-01-01,0.4169
2026-02-01,0.4399
2026-03-01,0.4374
2026-04-01,0.4213
2026-05-01,0.4054
2026-06-01,0.401
2026-07-01,0.4028
2026-08-01,0.438
