date,value
2006-01-01,100
2006-02-01,101.69
2006-03-01,103.54
2006-04-01,105.79
2006-05-01,106.52
2006-06-01,112.65
2006-07-01,123.73
2006-08-01,128.4
2006-09-01,137.15
2006-10-01,148.79
2006-11-01,150.1
2006-12-01,149.02
2007-01-01,146.52
2007-02-01,139.92
2007-03-01,111.32
2007-04-01,104.24
2007-05-01,103.91
2007-06-01,105.11
2007-07-01,105.36
2007-08-01,104.67
2007-09-01,105.09
2007-10-01,105.43
2007-11-01,105.92
2007-12-01,105.61
2008-01-01,107.72
2008-02-01,106.79
2008-03-01,100.55
2008-04-01,94.4
2008-05-01,93.72
2008-06-01,95.52
2008-07-01,96.86
2008-08-01,97.91
2008-09-01,100.07
2008-10-01,108.58
2008-11-01,109.5
2008-12-01,109.48
2009-01-01,112.51
2009-02-01,116.06
2009-03-01,116.26
2009-04-01,113.84
2009-05-01,113.86
2009-06-01,114.61
2009-07-01,115.24
2009-08-01,115.53
2009-09-01,116.75
2009-10-01,116.55
2009-11-01,116.57
2009-12-01,116.68
2010-01-01,115.4
2010-02-01,115.32
2010-03-01,114.94
2010-04-01,112.04
2010-05-01,110.86
2010-06-01,113.28
2010-07-01,115.66
2010-08-01,115.65
2010-09-01,116.66
2010-10-01,119.34
2010-11-01,121.16
2010-12-01,121.76
2011-01-01,127.08
2011-02-01,129.82
2011-03-01,129.96
2011-04-01,127.25
2011-05-01,127.17
2011-06-01,127.39
2011-07-01,127.79
2011-08-01,127.81
2011-09-01,128.06
2011-10-01,129.31
2011-11-01,129.83
2011-12-01,129.82
2012-01-01,130.18
2012-02-01,130.32
2012-03-01,129.89
2012-04-01,126
2012-05-01,124.72
2012-06-01,125.14
2012-07-01,126.35
2012-08-01,127.38
2012-09-01,128.2
2012-10-01,131.09
2012-11-01,133.91
2012-12-01,135.43
2013-01-01,140.68
2013-02-01,141.32
2013-03-01,139.91
2013-04-01,135.41
2013-05-01,135.08
2013-06-01,138.04
2013-07-01,141.92
2013-08-01,144.47
2013-09-01,146.69
2013-10-01,148.35
2013-11-01,149.26
2013-12-01,149.32
2014-01-01,149.54
2014-02-01,148.65
2014-03-01,146.28
2014-04-01,136.58
2014-05-01,135.74
2014-06-01,135.94
2014-07-01,136.33
2014-08-01,136.69
2014-09-01,136.8
2014-10-01,138.03
2014-11-01,138.58
2014-12-01,138.97
2015-01-01,139.47
2015-02-01,139.99
2015-03-01,139
2015-04-01,131.04
2015-05-01,127.99
2015-06-01,128.55
2015-07-01,129
2015-08-01,128.9
2015-09-01,128.94
2015-10-01,128.93
2015-11-01,129.52
2015-12-01,129.85
2016-01-01,133.13
2016-02-01,133.35
2016-03-01,132.41
2016-04-01,126.53
2016-05-01,124.98
2016-06-01,125.13
2016-07-01,125.24
2016-08-01,125.16
2016-09-01,125.38
2016-10-01,125.79
2016-11-01,126.72
2016-12-01,127.51
2017-01-01,129.32
2017-02-01,134.12
2017-03-01,135.03
2017-04-01,129.04
2017-05-01,126.61
2017-06-01,126.83
2017-07-01,127.78
2017-08-01,128.36
2017-09-01,128.58
2017-10-01,130.02
2017-11-01,131
2017-12-01,132.13
2018-01-01,135.53
2018-02-01,135.07
2018-03-01,135.69
2018-04-01,133.21
2018-05-01,130.49
2018-06-01,130.94
2018-07-01,131.54
2018-08-01,131.82
2018-09-01,133.01
2018-10-01,134.85
2018-11-01,136.72
2018-12-01,137.93
2019-01-01,140.07
2019-02-01,140.86
2019-03-01,140.88
2019-04-01,130.56
2019-05-01,128.86
2019-06-01,129.12
2019-07-01,129.81
2019-08-01,129.84
2019-09-01,131.44
2019-10-01,133.38
2019-11-01,135.38
2019-12-01,136.64
2020-01-01,137.87
2020-02-01,138.07
2020-03-01,137.18
2020-04-01,129.33
2020-05-01,127.13
2020-06-01,127.26
2020-07-01,127.04
2020-08-01,127.14
2020-09-01,127.68
2020-10-01,128.16
2020-11-01,129.11
2020-12-01,129.83
2021-01-01,130.12
2021-02-01,130.79
2021-03-01,130.51
2021-04-01,123.63
2021-05-01,122.98
2021-06-01,124.38
2021-07-01,125.18
2021-08-01,126.37
2021-09-01,129.06
2021-10-01,133
2021-11-01,140.05
2021-12-01,149.01
2022-01-01,168.88
2022-02-01,173.77
2022-03-01,172.11
2022-04-01,181.63
2022-05-01,188.9
2022-06-01,206.5
2022-07-01,247.66
2022-08-01,302.49
2022-09-01,320.08
2022-10-01,356.37
2022-11-01,340.62
2022-12-01,306.13
2023-01-01,289.56
2023-02-01,245.35
2023-03-01,205.77
2023-04-01,184.42
2023-05-01,189.3
2023-06-01,214.3
2023-07-01,227.4
2023-08-01,229.73
2023-09-01,227.04
2023-10-01,218.47
2023-11-01,212.18
2023-12-01,200.26
2024-01-01,197.17
2024-02-01,185.87
2024-03-01,175.91
2024-04-01,163.36
2024-05-01,161.12
2024-06-01,160.48
2024-07-01,160.46
2024-08-01,161.31
2024-09-01,161.44
2024-10-01,162.78
2024-11-01,164.48
2024-12-01,165.67
2025-01-01,167.98
2025-02-01,175.95
2025-03-01,181.58
2025-04-01,171.08
2025-05-01,168.21
2025-06-01,168.9
2025-07-01,170.02
2025-08-01,171.54
2025-09-01,176.06
2025-10-01,187.63
2025-11-01,200.15
2025-12-01,201.17
2026-01-01,209.54
2026-02-01,229.06
2026-03-01,228.36
2026-04-01,220
2026-05-01,217.66
2026-06-01,218.38
2026-07-01,222.31
2026-08-01,227.03
2026-09-01,235.93
