date,value
2006-01-01,0.8162
2006-02-01,0.8303
2006-03-01,0.7624
2006-04-01,0.7028
2006-05-01,0.7197
2006-06-01,0.713
2006-07-01,0.7568
2006-08-01,0.7703
2006-09-01,0.7587
2006-10-01,0.7085
2006-11-01,0.6787
2006-12-01,0.6969
2007-01-01,0.7296
2007-02-01,0.7166
2007-03-01,0.6973
2007-04-01,0.7166
2007-05-01,0.7334
2007-06-01,0.7627
2007-07-01,0.7564
2007-08-01,0.7641
2007-09-01,0.7591
2007-10-01,0.813
2007-11-01,0.8567
2007-12-01,0.919
2008-01-01,0.9199
2008-02-01,0.8662
2008-03-01,0.8669
2008-04-01,0.8288
2008-05-01,0.8612
2008-06-01,0.9135
2008-07-01,0.9361
2008-08-01,0.8975
2008-09-01,0.8952
2008-10-01,0.8635
2008-11-01,0.7174
2008-12-01,0.6131
2009-01-01,0.6172
2009-02-01,0.7429
2009-03-01,0.703
2009-04-01,0.6475
2009-05-01,0.6283
2009-06-01,0.6563
2009-07-01,0.7057
2009-08-01,0.7125
2009-09-01,0.7499
2009-10-01,0.7439
2009-11-01,0.7938
2009-12-01,0.8234
2010-01-01,0.8444
2010-02-01,0.8711
2010-03-01,0.8744
2010-04-01,0.8664
2010-05-01,0.8867
2010-06-01,0.8642
2010-07-01,0.8802
2010-08-01,0.8459
2010-09-01,0.8685
2010-10-01,0.9024
2010-11-01,0.9391
2010-12-01,1.0642
2011-01-01,1.1003
2011-02-01,0.9989
2011-03-01,0.9933
2011-04-01,1.0302
2011-05-01,1.0551
2011-06-01,0.9863
2011-07-01,0.9542
2011-08-01,1.0027
2011-09-01,0.98
2011-10-01,0.9649
2011-11-01,0.9755
2011-12-01,0.9823
2012-01-01,1.0348
2012-02-01,1.1426
2012-03-01,1.2642
2012-04-01,1.136
2012-05-01,1.031
2012-06-01,0.9491
2012-07-01,0.8889
2012-08-01,1.046
2012-09-01,1.1877
2012-10-01,1.1768
2012-11-01,1.2114
2012-12-01,1.1767
2013-01-01,1.0992
2013-02-01,1.0611
2013-03-01,1.047
2013-04-01,0.9969
2013-05-01,0.9293
2013-06-01,0.9621
2013-07-01,1.0102
2013-08-01,1.0435
2013-09-01,1.0622
2013-10-01,1.0154
2013-11-01,1.0306
2013-12-01,1.1925
2014-01-01,1.1142
2014-02-01,1.0703
2014-03-01,0.9936
2014-04-01,0.9746
2014-05-01,1.0095
2014-06-01,1.0089
2014-07-01,1.0365
2014-08-01,1.0196
2014-09-01,0.9841
2014-10-01,0.9979
2014-11-01,0.9
2014-12-01,0.8539
2015-01-01,0.7386
2015-02-01,0.7634
2015-03-01,0.7594
2015-04-01,0.7663
2015-05-01,0.7515
2015-06-01,0.6909
2015-07-01,0.6943
2015-08-01,0.6695
2015-09-01,0.631
2015-10-01,0.6801
2015-11-01,0.6807
2015-12-01,0.7236
2016-01-01,0.6623
2016-02-01,0.6023
2016-03-01,0.5948
2016-04-01,0.6176
2016-05-01,0.6211
2016-06-01,0.6342
2016-07-01,0.6336
2016-08-01,0.6026
2016-09-01,0.6269
2016-10-01,0.6532
2016-11-01,0.6961
2016-12-01,0.6986
2017-01-01,0.7577
2017-02-01,0.8006
2017-03-01,0.771
2017-04-01,0.708
2017-05-01,0.6864
2017-06-01,0.6941
2017-07-01,0.6556
2017-08-01,0.7207
2017-09-01,0.7689
2017-10-01,0.8106
2017-11-01,0.8205
2017-12-01,0.8428
2018-01-01,0.8305
2018-02-01,0.761
2018-03-01,0.7203
2018-04-01,0.7262
2018-05-01,0.7529
2018-06-01,0.8203
2018-07-01,0.8275
2018-08-01,0.8499
2018-09-01,0.8832
2018-10-01,0.9135
2018-11-01,0.8234
2018-12-01,0.7117
2019-01-01,0.7085
2019-02-01,0.7307
2019-03-01,0.7529
2019-04-01,0.7474
2019-05-01,0.764
2019-06-01,0.7163
2019-07-01,0.6794
2019-08-01,0.6375
2019-09-01,0.6423
2019-10-01,0.6893
2019-11-01,0.7252
2019-12-01,0.7604
2020-01-01,0.8036
2020-02-01,0.7272
2020-03-01,0.679
2020-04-01,0.5163
2020-05-01,0.5674
2020-06-01,0.6071
2020-07-01,0.6136
2020-08-01,0.6224
2020-09-01,0.6398
2020-10-01,0.6637
2020-11-01,0.6847
2020-12-01,0.6974
2021-01-01,0.7774
2021-02-01,0.7846
2021-03-01,0.8165
2021-04-01,0.7891
2021-05-01,0.7594
2021-06-01,0.7783
2021-07-01,0.867
2021-08-01,0.9
2021-09-01,0.9187
2021-10-01,1.0417
2021-11-01,1.0766
2021-12-01,1.0098
2022-01-01,0.9935
2022-02-01,1.0138
2022-03-01,1.1045
2022-04-01,1.1706
2022-05-01,1.0738
2022-06-01,1.0894
2022-07-01,1.0412
2022-08-01,1.0273
2022-09-01,1.0109
2022-10-01,0.9414
2022-11-01,0.9766
2022-12-01,0.9712
2023-01-01,0.9272
2023-02-01,1.0393
2023-03-01,0.9965
2023-04-01,0.8541
2023-05-01,0.8277
2023-06-01,0.7639
2023-07-01,0.7479
2023-08-01,0.8158
2023-09-01,0.8765
2023-10-01,0.9253
2023-11-01,0.9151
2023-12-01,0.8796
2024-01-01,0.8671
2024-02-01,0.8643
2024-03-01,0.8838
2024-04-01,0.875
2024-05-01,0.8432
2024-06-01,0.8313
2024-07-01,0.8849
2024-08-01,0.8822
2024-09-01,0.9073
2024-10-01,0.9021
2024-11-01,0.9247
2024-12-01,0.9216
2025-01-01,0.9059
2025-02-01,0.9315
2025-03-01,0.9185
2025-04-01,0.8866
2025-05-01,0.8086
2025-06-01,0.7729
2025-07-01,0.7682
2025-08-01,0.76
2025-09-01,0.766
2025-10-01,0.7803
2025-11-01,0.7689
2025-12-01,0.7871
2026-01-01,0.7876
2026-02-01,0.8083
2026-03-01,0.8274
2026-04-01,1.1384
2026-05-01,1.0214
2026-06-01,0.911
2026-07-01,0.8079
2026-08-01,0.9
