date,value
2014-01-01,0.00581
2014-01-02,0.02528
2014-01-03,0.03992
2014-01-04,0.00499
2014-01-05,0.00409
2014-01-06,0.01359
2014-01-07,0.04789
2014-01-08,0.04121
2014-01-09,0.04902
2014-01-10,0.0562
2014-01-11,0.05028
2014-01-12,0.03767
2014-01-13,0.03882
2014-01-14,0.03335
2014-01-15,0.04986
2014-01-16,0.04178
2014-01-17,0.04071
2014-01-18,0.04367
2014-01-19,0.03387
2014-01-20,0.03781
2014-01-21,0.05071
2014-01-22,0.047
2014-01-23,0.04446
2014-01-24,0.04064
2014-01-25,0.02058
2014-01-26,0.02599
2014-01-27,0.01576
2014-01-28,0.00495
2014-01-29,0.02872
2014-01-30,0.02814
2014-01-31,0.03942
2014-02-01,0.01088
2014-02-02,0.02627
2014-02-03,0.02631
2014-02-04,0.02463
2014-02-05,0.01204
2014-02-06,0.00502
2014-02-07,0.0032
2014-02-08,0.0011
2014-02-09,0.00048
2014-02-10,0.00318
2014-02-11,0.01941
2014-02-12,0.02022
2014-02-13,0.00663
2014-02-14,0.00312
2014-02-15,0.01861
2014-02-16,0.02301
2014-02-17,0.0402
2014-02-18,0.04537
2014-02-19,0.02731
2014-02-20,0.01029
2014-02-21,0.01651
2014-02-22,0.01837
2014-02-23,0.00629
2014-02-24,0.03468
2014-02-25,0.01791
2014-02-26,0.02378
2014-02-27,0.02872
2014-02-28,0.0057
2014-03-01,0.00228
2014-03-02,0.00078
2014-03-03,0.00127
2014-03-04,0.00284
2014-03-05,0.01676
2014-03-06,0.04568
2014-03-07,0.04207
2014-03-08,0.01497
2014-03-09,0.00906
2014-03-10,0.03221
2014-03-11,0.02917
2014-03-12,0.03845
2014-03-13,0.04138
2014-03-14,0.04117
2014-03-15,0.0296
2014-03-16,0.01647
2014-03-17,0.04561
2014-03-18,0.0389
2014-03-19,0.03403
2014-03-20,0.04126
2014-03-21,0.03505
2014-03-22,0.0181
2014-03-23,0.01753
2014-03-24,0.0292
